SNOMED conceptID;SNOMED term
104001;Excision of lesion of patella	
115006;Removable appliance therapy	
119000;Thoracoscopic partial lobectomy of lung	
121005;Retrobulbar injection of therapeutic agent	
128004;Hand microscope examination of skin	
133000;Percutaneous implantation of neurostimulator electrodes into neuromuscular component	
135007;Arthrotomy of wrist joint with exploration and biopsy	
142007;Excision of tumor from shoulder area, deep, intramuscular	
146005;Repair of nonunion of metatarsal with bone graft	
153001;Cystourethroscopy with resection of ureterocele	
160007;Removal of foreign body of tendon AND/OR tendon sheath	
166001;Behavioral therapy	
170009;Special potency disk identification, vancomycin test	
174000;Harrison-Richardson operation on vagina	
176003;Anastomosis of rectum	
189009;Excision of lesion of artery	
197002;Mold to yeast conversion test	
230009;Miller operation, urethrovesical suspension	
243009;Replacement of cerebral ventricular tube	
245002;Division of nerve ganglion	
262007;Percutaneous aspiration of renal pelvis	
267001;Anal fistulectomy, multiple	
285008;Incision and drainage of vulva	
294002;Excisional biopsy of joint structure of spine	
295001;Nonexcisional destruction of cyst of ciliary body	
306005;Echography of kidney	
316002;Partial dacryocystectomy	
334003;Panorex examination of mandible	
342002;Amobarbital interview	
346004;Periodontal scaling and root planing, per quadrant	
348003;Radionuclide dynamic function study	
351005;Urinary undiversion of ureteral anastomosis	
352003;Reagent RBC, preparation antibody sensitized pool	
352003;Preparation of antibody sensitized pooled reagent red blood cells	
353008;IV/irrigation monitoring	
374009;Costosternoplasty for pectus excavatum repair	
388008;Blepharorrhaphy	
389000;Tobramycin measurement	
401004;Distal subtotal pancreatectomy	
406009;Fulguration of stomach lesion	
417005;Hospital re-admission	
435001;Pulmonary inhalation study	
445004;Repair of malunion of tibia	
456004;Total abdominal colectomy with ileostomy	
459006;Closed condylotomy of mandible	
463004;Closed reduction of coxofemoral joint dislocation with splint	
468008;Glutathione measurement	
474008;Esophagoenteric anastomosis, intrathoracic	
489004;Ferritin measurement	
493005;Urobilinogen measurement, 48-hour, feces	
494004;Excision of lesion of tonsil	
497006;Replacement of cochlear prosthesis, multiple channels	
503003;Corneal gluing	
531007;Open pulmonary valve commissurotomy with inflow occlusion	
533005;Closure of vesicocolic fistula	
535003;Closure of ureterovesicovaginal fistula	
540006;Antibody to single and double stranded DNA measurement	
540006;Antibody to single and double stranded deoxyribonucleic acid measurement	
543008;Choledochostomy with transduodenal sphincteroplasty	
545001;Operative procedure on lower leg	
549007;Incision of intracranial vein	
550007;Excision of lesion of adenoids	
559008;Excision of varicose vein	
570001;Vaccination for arthropod-borne viral encephalitis	
574005;Benzodiazepine measurement	
603006;Division of any synchondrosis	
617002;Bone graft to mandible	
618007;Frontal sinusectomy	
625000;Removal of supernumerary digit	
628003;Steinman test	
629006;Lysis of adhesions of urethra	
633004;Chart review by physician	
637003;Lysis of adhesions of nose	
642006;Cerebral thermography	
