snomed b id;snomed b term;thot id;thot term
133000;percutane implantatie van neurostimulator electroden in neuromusculaire component;133000;percutane implantatie van neurostimulator electroden in neuromusculaire component
142007;excisie van diepe intramusculaire tumor van de schouderstreek;142007;excisie van van de schouderstreek diepe intramusculaire
146005;herstel van nonunion van metatarsaal met botgreffe;146005;herstel van nonunion van metatarsaal met botgreffe
153001;cystourethroscopie met resectie urethrocoele;153001;cystourethroscopie met resectie urethrocoele
174000;procedure van harrison - richardson ter hoogte van vagina;174000;procedure van harrison - richardson ter hoogte van vagina
176003;anastomose van het rectum;176003;anastomose van het rectum
189009;excisie van letsel van arterie;189009;excisie van letsel van arterie
262007;percutane aspiratie van de renale pelvis;262007;percutane aspiratie van de renale pelvis
267001;meerdere anale fistulectomies;267001;meerdere anale fistulectomies
294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom;294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom
306005;echografie nier;306005;echo nier
334003;rx orthopantomogram;334003;rx orthopantomogram
374009;herstel van pectus excavatum met costosteroplastie;374009;herstel van pectus excavatum met costosteroplastie
388008;blefaroraphie;388008;blefarorafie
401004;distale subtotale pancreatectomie;401004;distale subtotale pancreatectomie
445004;herstel van malunion van de tibia;445004;herstel van malunion van de tibia
463004;gesloten reductie van een heupluxatie met een spalk;463004;gesloten reductie van een heupluxatie met een spalk
474008;intrathoracale slokdarmanastomose met dundarm;474008;intrathoracale slokdarmanastomose met dundarm
494004;excisie van letsel van tonsil;494004;excisie van letsel van tonsil
497006;vervangen van cochleaire prothese , meervoudige kanalen;497006;vervangen van cochleaire prothese , meervoudige kanalen
531007;open commissurotomie van pulmonaalklep met inflowocclusie;531007;open commissurotomie van pulmonaalklep met inflowocclusie
533005;herstel van vesico - colische fistel;533005;sluiten van fistel
543008;choledocostomie met transduodenale sfincterotomie;543008;choledocostomie met transduodenale sfincterotomie
549007;incisie van een intracraniale vena;549007;incisie van een intracraniale vena
550007;excisie van letsel van adeno ï ds;550007;excisie van letsel van adeno ï ds
559008;excisie van variceuze vene;559008;excisie van variceuze vene
603006;synchondrotomie;603006;synchondrotomie
618007;sinusectomie van frontale sinus;618007;sinusectomie van frontale sinus
625000;amputatie van een surnummeraire vinger;625000;verwijdering van overtollige vingers of tenen
628003;steinman test;628003;steinman test
629006;adhesiolyse van de urethra;629006;adhesiolyse van de urethra
647000;excisie van cervix door elecroconisatie;647000;excisie van cervix door elecroconisatie
670008;epilatie wenkbrauw met electrocoagulatie;670008;epilatie wenkbrauw met electrocoagulatie
671007;testistransplantatie;671007;testistransplantatie
673005;indirecte laryngoscopie;673005;indirecte laryngoscopie
674004;abductie test;674004;abductie test
710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior;710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior
722009;fijne naaldbiopsie van de thymus;722009;fijne naaldbiopsie van de thymus
754000;totale urethrectomie;754000;totale urethrectomie
764009;arthrodese van interphalangeaal gewricht van hallux;764009;arthrodese van interphalangeaal gewricht van hallux
789003;subtemporale decompressie;789003;subtemporale decompressie
807005;excisie van de hersenen;807005;hersenen
817000;excisie van cyste van milt;817000;excisie van cyste van milt
831000;schuiflade test;831000;schuiflade test
867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus;867007;aanleggen van een anastomose n . facialis ( vii ) - n . hypoglossus
881009;cyclodialyse;881009;cyclodialyse
911003;verwijderen subarachno - ureterale shunt;911003;verwijderen subarachno - ureterale shunt
926001;katheter embolectomie van de arteria radialis via arm incisie;926001;katheter embolectomie van arteria radialis via arm incisie
935008;excisie bulbo - urethrale klier;935008;excisie bulbo - urethrale klier
945005;excisie van tibia en fibula als greffe;945005;excisie van tibia en fibula als greffe
948007;flebectomie van een intracraniale varikeuse vena;948007;flebectomie van een intracraniale varikeuse vena
1001000;cauterisatie van klier van Bartholin;1001000;cauterisatie van klier van bartholin
1019009;verwijderen cornea epitheel;1019009;verwijderen cornea epitheel
1029002;foetoscopie;1029002;foetoscopie
1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig;1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig
1041009;debridement van een open fractuur van een falanx van de voet;1041009;d é bridement van open fractuur van falanx van voet
1044001;diagnostische echografie van het abdomen en het retroperitoneum;1044001;diagnostische echografie van het abdomen en het retroperitoneum
1054002;incisie van de sfincter van Oddi;1054002;incisie van de sfincter van oddi
1071001;proximale splenorenale anastomosis;1071001;proximale splenorenale anastomosis
1084005;excisie perinefrische cyste;1084005;excisie perinefrische cyste
1093006;excisie van abdominale variceuse vene;1093006;excisie van abdominale variceuse vene
1119007;gesloten reductie van luxatie van de teen en voet;1119007;gesloten reductie van luxatie van voet en teen
1163003;uretero - enterostomie;1163003;uretero - enterostomie
1176009;incisie van de inguinale regio;1176009;incisie van de inguinale regio
1198000;excisiebiopsie van de scapula;1198000;excisiebiopsie van de scapula
1209007;arthroscopisch lateraal meniscaal herstel;1209007;arthroscopisch lateraal meniscaal herstel
1225002;Rx humerus;1225002;rx humerus
1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose;1227005;incisie subvalvulair weefsel for subvalvulaire aorta syenose
1235008;spiertransfer;1235008;spiertransfer
1253002;revisie fusie van de wervelkolom;1253002;revisie fusie van wervelkolom
1266002;sluiten van fistel van trommelvlies;1266002;sluiten van fistel van trommelvlies
1267006;electrocoagulatie van vaginaal letsel;1267006;electrocoagulatie van vaginaal letsel
1279006;herstel onderhuids zakje voor pacemaker;1279006;herstel onderhuids zakje voor pacemaker de huid
1292009;NMR blaas;1292009;nmr blaas
1299000;resectie van appendiculaire stomp;1299000;resectie van appendiculaire stomp
1315009;reconstructie wenkbrauw;1315009;reconstructie wenkbrauw
1328002;ilio - iliacale shunt;1328002;ilio - iliacale shunt
1329005;doornemen van congenitaal larynxweb;1329005;doornemen van congenitaal larynxweb
1390003;laparoscopisch geassisteerde sigmoied resectie;1390003;laparoscopisch geassisteerde sigmoied resectie
1398005;directe trombectomie van vena iliaca via been incisie;1398005;directe trombectomie van vena iliaca via been incisie
1413003;penetrerende keratoplastie met allogreffe;1413003;penetrerende keratoplastie met allogreffe
1414009;av shunt angiografie;1414009;av shunt angiografie
1449002;epilatie;1449002;ontharing
1501006;Altemeier ingreep , perineale rectum pull through;1501006;altemeier ingreep , perineale rectum pull through
1576000;sluiten van utero - intestinale fistel;1576000;sluiten van utero - intestinale fistel
1578004;ketenreconstructie met stapedectomie;1578004;ketenreconstructie met stapedectomie
1585000;verlenging van de gastrocnemius;1585000;verlenging van de gastrocnemius
1614003;bilateraal liesbreukherstel van directe hernia;1614003;bilateraal liesbreukherstel van directe hernia
1636000;injectie van scleroserend agens in variceuze vene;1636000;injectie van scleroserend agens in variceuze vene
1638004;cineplastische amputatie met cineplastische prothese van een lidmaat;1638004;cineplastische amputatie met cineplastische prothese van een lidmaat
1645004;transduodenale sfincterotomie;1645004;transduodenale sfincterotomie
1651009;excisie van de peesschede;1651009;excisie van de peesschede
1689004;lokale excisie van het ovarium;1689004;excisie van eierstoklaesie
1704001;herstel van een congenitale pseudartrose van de tibia;1704001;herstel van een congenitale pseudartrose van de tibia
1746005;plaatsen van sclerale buckle met iplant;1746005;plaatsen van sclerale buckle met iplant
1747001;vervangen van spierstimulator;1747001;vervangen van spierstimulator
1753001;resectie van uveaal weefsle;1753001;resectie van uveaal weefsle
1757000;polsarthroscopie met partiele synovectomie;1757000;polsarthroscopie met partiele synovectomie
1801001;biopsie langs endoscopische weg van het duodenum;1801001;biopsie langs endoscopische weg van het duodenum
1811008;aspiratie van bursa van de hand;1811008;aspiratie van bursa van de hand
1813006;cryotherapie van genitale wratten;1813006;cryotherapie van genitale wratten
1844002;plicatuur van ligament;1844002;plicatuur van ligament
1859008;verwijderen van vreemd voorwerp van handpees;1859008;verwijderen van vreemd voorwerp van handpees
1868005;verwijderen van vreemd voorwerp uit de hersenen;1868005;verwijderen van vreemd voorwerp uit de hersenen
1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie;1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie
1871002;herstel van coronaire arterie aneurysma;1871002;herstel van coronaire arterie aneurysma
1872009;hechting perineum bij de man;1872009;hechting perineum bij de man
1924009;hepaticotomie met drainage;1924009;hepaticotomie met drainage
1950008;drainage van abces van neustussenschot;1950008;drainage van abces van neustussenschot
1958001;botgreffe van de duim en tranfer van huidflap;1958001;botgreffe van de duim en tranfer van huidflap
2067001;implantatie van elektromagnetisch hoorapparaat;2067001;implantatie van elektromagnetisch hoorapparaat
2078009;punctie van bursa van de hand;2078009;punctie van bursa van de hand
2079001;re ï mplantatie van abnormale arteria pulmonalis;2079001;re ï mplantatie van abnormale arteria pulmonalis
2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat;2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat
2137005;excisie pericard tumor;2137005;excisie pericard tumor
2164006;injectie van aorta;2164006;injectie van aorta
2166008;bicuspidisatie van aortaklep;2166008;bicuspidisatie van aortaklep
2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe;2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe
2199005;excisie van een letsel in de cul - de - sac ( douglas );2199005;excisie van de cul - de - sac
2234009;procto - sigmoiedopexie;2234009;procto - sigmoiedopexie
2242005;reconstructie ooglid;2242005;reconstructie ooglid
2244006;arthroscopische stabilisatie van de pols met interne fixatie;2244006;arthroscopie van de pols met interne fixatie
2250001;resectie van aorta ascendens met anastomose;2250001;resectie van aorta ascendens met anastomose
2270007;herstel van cleft hand;2270007;herstel van cleft hand
2276001;exploratie van de arteria poplitea;2276001;exploratie van de arteria poplitea
2321005;vaginale partus volgens het manoeuvre van Ritgen;2321005;vaginale partus volgens het manoeuvre van ritgen
2337004;adductor tenotomie van de heup;2337004;tenotomie ( abductor )
2364003;radicale resectie van zachtweefseltumor thv de pols;2364003;radicale resectie van zachtweefseltumor thv de pols
2386002;reductie van gesloten patellaluxatie;2386002;reductie van gesloten patellaluxatie
2393003;ligatuur van vene van onderste lidmaat;2393003;ligatuur van vene van onderste lidmaat
2407009;resectie van mediastinale tumor;2407009;resectie van mediastinale tumor
2409007;re ï nsertie van de voet;2409007;re ï nsertie van de voet
2442008;insnijden canaliculus;2442008;insnijden canaliculus
2459003;destructieve procedure van arterie van bovenste lidmaat;2459003;destructieve procedure van arterie van bovenste lidmaat
2474001;herstel van malunion van metatarsale beenderen;2474001;herstel van malunion van metatarsale beenderen
2536007;injectie van medicatie in de voorste oogkamer;2536007;injectie van medicatie in de voorste oogkamer
