conceptId; Engelse term;Nl;Nl;Nl
618007;Frontal sinusectomy;Frontale sinusectomy;frontale sinusectomy;frontale sinusectomy
1163003;Ureteroenterostomy;Ureteroenterostomy;ureteroenterostomy;Ureteroenterostomy
1328002;Ilioiliac shunt;Ilioiliac shunt;ilioiliac shunt;Ilioiliac shunt
1578004;Reconstruction of ossicles with stapedectomy;Reconstructie van gehoorbeentjes met stapedectomie;reconstructie van gehoorbeentjes met stapedectomie;Reconstructie van gehoorbeentjes met stapedectomie
2234009;Proctosigmoidopexy;Proctosigmoidopexy;proctosigmoidopexy;Proctosigmoidopexy
2644002;Cauterization of liver;Cauterisatie van de lever;cauterisatie van de lever;Cauterisatie van de lever
2752008;Incudopexy;Incudopexy;incudopexy;Incudopexy
4758006;Incudostapediopexy;Incudostapediopexy;incudostapediopexy;Incudostapediopexy
5019003;Direct laryngoscopy with biopsy;Directe laryngoscopie met biopsie;directe laryngoscopie met biopsie;Directe laryngoscopie met biopsie
5447007;Transfusion;Transfusie;transfusie;Transfusie
6164008;Osteoclasis of clavicle;Osteoclasis van sleutelbeen;osteoclasis van sleutelbeen;Osteoclasis van sleutelbeen
6307005;Keratophakia;Keratophakia;keratophakia;Keratophakia
8093000;Transureteroureterostomy;Transureteroureterostomy;transureteroureterostomy;Transureteroureterostomy
8215004;Lisfranc shoulder disarticulation;Lisfranc schouder exarticulatie;lisfranc schouder exarticulatie;Lisfranc schouder exarticulatie
8782006;Radical perineal prostatectomy;Radicale perineale prostatectomie;radicale perineale prostatectomie;Radicale perineale prostatectomie
8906004;Cecocolostomy;Cecocolostomy;cecocolostomy;Cecocolostomy
8929007;Esophagogastropexy;Esophagogastropexy;esophagogastropexy;Esophagogastropexy
10281002;Scalenectomy;Scalenectomy;scalenectomy;Scalenectomy
10795000;Ventriculocaval shunt with valve;Ventriculocaval shunt met klep;ventriculocaval shunt met klep;Ventriculocaval shunt met klep
11343000;Anoscopy with biopsy;Anoscopie met biopsie;anoscopie met biopsie;Anoscopie met biopsie
11466000;Cesarean section;Keizersnede;keizersnede;Keizersnede
12744005;Perineal urethroscopy;perineale urethroscopie;perineale urethroscopie;perineale urethroscopie
13303004;Posterior sclerotomy;posterior sclerotomie;posterior sclerotomie;posterior sclerotomie
13513008;Cycloanemization;Cycloanemization;cycloanemization;Cycloanemization
13714004;Arthroscopy;artroscopie;artroscopie;Artroscopie
13846009;Augmentation of buttock;Augmentation van bil;augmentation van bil;Augmentation van bil
13852005;Transabdominal gastroscopy;transabdominal gastroscopie;transabdominal gastroscopie;transabdominal gastroscopie
14192000;Excision of sinus tarsi;Excisie van sinus tarsi;excisie van sinus tarsi;Excisie van sinus tarsi
14404001;Thymopexy;Thymopexy;thymopexy;Thymopexy
16866008;Larrey shoulder disarticulation;Larrey schouder exarticulatie;larrey schouder exarticulatie;Larrey schouder exarticulatie
17444001;Biopsy of omentum;Biopsie van omentum;biopsie van omentum;Biopsie van omentum
17473003;Cecotomy;Cecotomy;cecotomy;Cecotomy
19060000;Cauterization of vocal cords;Cauterisatie van de stembanden;cauterisatie van de stembanden;Cauterisatie van de stembanden
19062008;Encephalocentesis;Encephalocentesis;encephalocentesis;Encephalocentesis
19317004;Posterior anal sphincterotomy;Posterior anale sfincterotomie;posterior anale sfincterotomie;Posterior anale sfincterotomie
19578002;Arthrodesis;artrodese;artrodese;Artrodese
19606007;Endarterectomy of aortic arch;Endarterectomie van aortaboog;endarterectomie van aortaboog;Endarterectomie van aortaboog
20119004;Ureterocecostomy;Ureterocecostomy;ureterocecostomy;Ureterocecostomy
21123000;Iridosclerectomy;Iridosclerectomy;iridosclerectomy;Iridosclerectomy
21805006;Removal of salpingothecal shunt;Verwijdering van salpingothecal shunt;verwijdering van salpingothecal shunt;Verwijdering van salpingothecal shunt
21815000;Nasotracheobronchial catheter aspiration;Nasotracheobronchial katheter aspiratie;nasotracheobronchial katheter aspiratie;Nasotracheobronchial katheter aspiratie
22510001;Osteotomy of femoral neck;Osteotomie van femurhals;osteotomie van femurhals;Osteotomie van femurhals
22523008;Vasectomy;vasectomie;vasectomie;Vasectomie
23379002;Cyclotomy;Cyclotomy;cyclotomy;Cyclotomy
23928003;Costochondrectomy;Costochondrectomy;costochondrectomy;Costochondrectomy
24026006;Intra-abdominal venous shunt;Intra - abdominale veneuze shunt;intra - abdominale veneuze shunt;Intra - abdominale veneuze shunt
24420007;Sigmoidoscopy;sigmo ï doscopie;sigmo ï doscopie;Sigmo ï doscopie
24462000;Trocar cholecystotomy;trocar cholecystotomy;trocar cholecystotomy;trocar cholecystotomy
24485004;Trochanterplasty;Trochanterplasty;trochanterplasty;Trochanterplasty
26294005;Radical prostatectomy;radicale prostatectomie;radicale prostatectomie;Radicale prostatectomie
26302000;Osteorrhaphy;Osteorrhaphy;osteorrhaphy;Osteorrhaphy
26978009;Myotomy of intestine;Myotomie darm;myotomie darm;Myotomie darm
27041000;Cholecystoileostomy;Cholecystoileostomy;cholecystoileostomy;Cholecystoileostomy
27613000;Ventriculopleural shunt with valve;Ventriculopleural shunt met klep;ventriculopleural shunt met klep;Ventriculopleural shunt met klep
27779004;Sternotomy;sternotomie;sternotomie;sternotomie
27813003;Intra-articular injection;Intra - articulaire injectie;intra - articulaire injectie;intra - articulaire injectie
28467003;Intrathoracic esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale esophagoileostomy
28644007;Vaginal enterocelectomy;vaginale enterocelectomy;vaginale enterocelectomy;vaginale enterocelectomy
28725006;Trachelopexy;Trachelopexy;trachelopexy;Trachelopexy
28903008;Percutaneous angioscopy;percutane angioscopie;percutane angioscopie;percutane angioscopie
29216007;Talectomy;Talectomy;talectomy;Talectomy
29532006;Proctoscopy with biopsy;Proctoscopie met biopsie;proctoscopie met biopsie;Proctoscopie met biopsie
29825008;Implantation of vitreous;Implantatie van glasvocht;implantatie van glasvocht;Implantatie van glasvocht
30583008;Cauterization of urethra;Cauterisatie van de urethra;cauterisatie van de urethra;Cauterisatie van de urethra
