conceptId;Beschrijving;conceptId;Beschrijving Matecat
176003;anastomose van het rectum;176003;Anastomose van het rectum
1645004;transduodenale sfincterotomie;1645004;Transduodenal sfincterotomie
1813006;cryotherapie van genitale wratten;1813006;Cryotherapie van genitale wratten
1950008;drainage van abces van neustussenschot;1950008;Drainage van abces van neustussenschot
2078009;punctie van bursa van de hand;2078009;Punctie van bursa van de hand
2164006;injectie van aorta;2164006;Injectie van aorta
2794006;cauterisatie van de navel;2794006;Cauterisatie van de navel
2914003;anterieure sclerotomie;2914003;anterieure sclerotomie
3326006;excise van bunionette;3326006;Excisie van bunionette
3968003;facetectomie van wervel;3968003;Facetectomie van wervel
4344007;cryopexie;4344007;cryopexie
4570007;chemopallidectomie;4570007;chemopallidectomie
4891005;proctostomie;4891005;proctostomie
5119000;epiglottidectomy;5119000;Epiglottidectomy
5233006;laterale fasciotomie;5233006;Lateral fasciotomie
5407000;injectie van eileider;5407000;Injectie van eileider
5447007;transfusie;5447007;Transfusie
5616006;osteoplastie van de tibia;5616006;Osteoplastiek van de tibia
5892005;mastoid antrotomie;5892005;mastoid antrotomy
5971009;incisie en drainage van de oksel;5971009;Incisie en drainage van de oksel
6025007;laparoscopische appendectomie;6025007;laparoscopische appendectomie
6188005;arthrotomie van de knie;6188005;Arthrotomie van de knie
6190006;colopexie;6190006;colopexie
6486000;curettage van sclera;6486000;Curettage van sclera
6968005;cannulatie van cisterna chyli;6968005;Canulatie van cisterna chyli
7260000;open biopsie van de galblaas;7260000;Open biopsie van de galblaas
7430007;cryotherapie van huidletsel met vloeibare stikstof;7430007;Cryotherapie van huidletsel met vloeibare stikstof
7937001;transplantatie van bijnier;7937001;Transplantatie van bijnier
8290005;ge ï nduceerde cardioplegie;8290005;ge ï nduceerde cardioplegie
8462008;arthrotomie van de vinger;8462008;Arthrotomie van de vinger
8782006;radicale perineale prostatectomie;8782006;Radicale perineale prostatectomie
9215005;colotomie;9215005;colotomie
9373007;strippen van de stembanden;9373007;Strippen van de stembanden
9579005;subtalaire arthrodese;9579005;subtalaire artrodese
9810007;embolisatie van arterioveneuze fistel;9810007;Embolisatie van arterioveneuze fistel
10259007;rectopexie;10259007;proctopexie
10458001;evacuatie van intracerebraal hematoom;10458001;Evacuatie van intracerebrale hematoom
10726005;uitgebreide excisie van neuspoliepen;10726005;Uitgebreide excisie van neuspoliepen
11466000;keizersnede;11466000;Keizersnede
11598009;excisie van synoviale cyste;11598009;Excisie van synoviale cyste
12666009;cholecystocolostomie;12666009;colocholecystostomie
12672009;proctolysis;12672009;proctoclysis
12744005;perineale urethroscopie;12744005;perineale urethroscopie
13205008;transvaginale echografie;13205008;transvaginale echografie
13431007;prefrontale lobotomie;13431007;prefrontale lobotomie
13490005;conchotomie;13490005;conchotomie
13529000;nasale septoplastie;13529000;nasale septoplasty
13575008;femoroperoneale vasculaire bypass;13575008;Femoroperoneal vasculaire bypass
13714004;arthroscopie;13714004;Artroscopie
13850002;drainage van craniale sinus door aspiratie;13850002;Drainage van craniale sinus door aspiratie
13852005;transabdominale gastroscopie;13852005;transabdominal gastroscopie
13861005;biopsie van het bot;13861005;Biopsie van het bot
14111006;myocutane transplantatie;14111006;myocutane transplantatie
