conceptId;Beschrijving;conceptId;Beschrijving thot
388008;blefaroraphie;388008;blefarorafie
673005;indirecte laryngoscopie;673005;indirecte laryngoscopie
754000;totale urethrectomie;754000;totale urethrectomie
881009;cyclodialyse;881009;cyclodialyse
1029002;foetoscopie;1029002;foetoscopie
1315009;reconstructie wenkbrauw;1315009;reconstructie wenkbrauwen
1651009;excisie van de peesschede;1651009;excisie van de peesschede
2250001;resectie van aorta ascendens met anastomose;2250001;resectie van aorta ascendens met anastomose
2745006;omentopexie;2745006;omentopexie
2752008;incudopexie;2752008;incudopexy
3664004;herstel van sclerale fistel;3664004;herstel van sclera fistel
3942005;cystopexie;3942005;cystopexie
3968003;facetectomie van wervel;3968003;facetectomy van wervel
4119008;intracraniale flebectomie met anastomosis;4119008;intracraniale flebectomie met anastomose
4344007;cryopexie;4344007;cryopexy
4570007;chemopallidectomie;4570007;chemopallidectomy
4758006;incudostapediopexie;4758006;incudostapediopexy
4891005;proctostomie;4891005;proctostomie
5057003;radicale orbitomaxillectomie;5057003;radicale orbitomaxillectomy
5119000;epiglottidectomy;5119000;epiglottidectomie
5233006;laterale fasciotomie;5233006;laterale fasciotomie
5447007;transfusie;5447007;transfusie
5721002;herstel wenkbrauw;5721002;herstel wenkbrauwen
5777000;flexorplastie van elleboog;5777000;flexorplasty van elleboog
6025007;laparoscopische appendectomie;6025007;laparoscopische appendicectomie
6190006;colopexie;6190006;colopexy
6337001;ligatuur van aortaboog;6337001;ligatuur van aortaboog
6976007;craniocervicale fusie;6976007;craniocervical fusie
7017002;ligatuur van vena jugularis interna;7017002;ligatuur van vena jugularis interna
7534000;herstel perineourethroscrotale fistel;7534000;herstel perineourethroscrotal fistel
8403000;herstel van nasofaryngeale fistel;8403000;herstel van nasofaryngeale fistel
8782006;radicale perineale prostatectomie;8782006;radicale perineale prostatectomie
8803008;iridosclerotomie;8803008;iridosclerotomy
9215005;colotomie;9215005;colotomy
9373007;strippen van de stembanden;9373007;stripping van de stembanden
9429009;gastroplastie;9429009;gastroplastiek
9497004;verwijderen van laminaria van uterus;9497004;verwijdering van laminaria van uterus
9524002;totale pancreatectomie;9524002;totale pancreatectomie
10259007;rectopexie;10259007;rectopexie
10281002;scalenectomie;10281002;scalenectomy
