conceptid b;term b;conceptid m;term m
176003;anastomose van het rectum;176003;Anastomose van het rectum
1813006;cryotherapie van genitale wratten;1813006;Cryotherapie van genitale wratten
1950008;drainage van abces van neustussenschot;1950008;Drainage van abces van neustussenschot
2078009;punctie van bursa van de hand;2078009;Punctie van bursa van de hand
2164006;injectie van aorta;2164006;Injectie van aorta
2794006;cauterisatie van de navel;2794006;Cauterisatie van de navel
2914003;anterieure sclerotomie;2914003;anterieure sclerotomie
3968003;facetectomie van wervel;3968003;Facetectomie van wervel
4344007;cryopexie;4344007;cryopexie
4570007;chemopallidectomie;4570007;chemopallidectomie
4891005;proctostomie;4891005;proctostomie
5119000;epiglottidectomy;5119000;Epiglottidectomy
5407000;injectie van eileider;5407000;Injectie van eileider
5447007;transfusie;5447007;Transfusie
5971009;incisie en drainage van de oksel;5971009;Incisie en drainage van de oksel
6025007;laparoscopische appendectomie;6025007;laparoscopische appendectomie
6188005;arthrotomie van de knie;6188005;Arthrotomie van de knie
6190006;colopexie;6190006;colopexie
6486000;curettage van sclera;6486000;Curettage van sclera
7260000;open biopsie van de galblaas;7260000;Open biopsie van de galblaas
7430007;cryotherapie van huidletsel met vloeibare stikstof;7430007;Cryotherapie van huidletsel met vloeibare stikstof
7937001;transplantatie van bijnier;7937001;Transplantatie van bijnier
8290005;ge ï nduceerde cardioplegie;8290005;ge ï nduceerde cardioplegie
8462008;arthrotomie van de vinger;8462008;Arthrotomie van de vinger
8782006;radicale perineale prostatectomie;8782006;Radicale perineale prostatectomie
9215005;colotomie;9215005;colotomie
9373007;strippen van de stembanden;9373007;Strippen van de stembanden
9810007;embolisatie van arterioveneuze fistel;9810007;Embolisatie van arterioveneuze fistel
10726005;uitgebreide excisie van neuspoliepen;10726005;Uitgebreide excisie van neuspoliepen
11466000;keizersnede;11466000;Keizersnede
11598009;excisie van synoviale cyste;11598009;Excisie van synoviale cyste
12744005;perineale urethroscopie;12744005;perineale urethroscopie
13205008;transvaginale echografie;13205008;transvaginale echografie
13431007;prefrontale lobotomie;13431007;prefrontale lobotomie
13490005;conchotomie;13490005;conchotomie
13850002;drainage van craniale sinus door aspiratie;13850002;Drainage van craniale sinus door aspiratie
13861005;biopsie van het bot;13861005;Biopsie van het bot
14111006;myocutane transplantatie;14111006;myocutane transplantatie
14184009;manipulatie van weefsel van mediastinum;14184009;Manipulatie van weefsel van mediastinum
15067008;nefropexie;15067008;nefropexie
15761001;ureterolysis;15761001;Ureterolysis
15962000;drainage van hematoom van neustussenschot;15962000;Drainage van hematoom van neustussenschot
16798006;incisie en drainage van ge ï nfecteerde bursa van de enkel;16798006;Incisie en drainage van ge ï nfecteerde bursa van de enkel
17254000;hepaticolithotomie;17254000;hepaticolithotomie
17606004;sclerectomie;17606004;sclerectomie
18640002;echografie , M - mode;18640002;Echografie , M - mode
18692006;bypass gastro - enterostomie;18692006;bypass gastro - enterostomie
19060000;cauterisatie van de stembanden;19060000;Cauterisatie van de stembanden
19578002;artrodese;19578002;Artrodese
19606007;endarterectomie van aortaboog;19606007;Endarterectomie van aortaboog
20933000;endoscopie van de lever;20933000;Endoscopie van de lever
21030008;transplantatie van aorta;21030008;Transplantatie van aorta
21054003;haartransplantatie;21054003;haartransplantatie
22047006;aspiratie van de huid;22047006;Aspiratie van de huid
22510001;osteotomie van femurhals;22510001;Osteotomie van femurhals
22523008;vasectomie;22523008;Vasectomie
22673000;incisiebiopsie van de slokdarm;22673000;Incisiebiopsie van de slokdarm
22977002;Strippen van het bot;22977002;Strippen van het bot
23425005;amputatie van de arm door de elleboog;23425005;Amputatie van de arm door de elleboog
23968004;colectomie;23968004;Colectomie
24026006;intra - abdominale veneuze shunt;24026006;Intra - abdominale veneuze shunt
24365002;percutane aspiratie van de lever;24365002;Percutane aspiratie van de lever
24788003;biopsie van de schildklier;24788003;Biopsie van de schildklier
25353009;craniotomie;25353009;craniotomie
25679005;cardiolysis;25679005;Cardiolysis
26212005;vervanging van aortaklep;26212005;Vervanging van aortaklep
