conceptId;Beschrijving Google;conceptId;Beschrijving
104001;Excisie van letsel van patella;104001;excisie van letsel ter hoogte van de patella
133000;Percutane implantatie van neurostimulator elektroden in neuromusculaire component;133000;percutane implantatie van neurostimulator electroden in neuromusculaire component
142007;Excisie van de tumor van de schouders , diepe , intramusculaire;142007;excisie van diepe intramusculaire tumor van de schouderstreek
146005;Reparatie van nonunion van middenvoetsbeentje met bottransplantatie;146005;herstel van nonunion van metatarsaal met botgreffe
153001;Cystourethroscopy met resectie van ureterocele;153001;cystourethroscopie met resectie urethrocoele
174000;Harrison - Richardson operatie op de vagina;174000;procedure van harrison - richardson ter hoogte van vagina
176003;Anastomose van het rectum;176003;anastomose van het rectum
189009;Excisie laesie slagader;189009;excisie van letsel van arterie
262007;Percutane aspiratie van nierbekken;262007;percutane aspiratie van de renale pelvis
267001;Anale fistulectomy , multiple;267001;meerdere anale fistulectomies
294002;Excisiebiopt van de gezamenlijke structuur van de wervelkolom;294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom
306005;Echografie van de nieren;306005;echografie nier
334003;Panorex onderzoek van de onderkaak;334003;rx orthopantomogram
374009;Costosternoplasty voor pectus reparatie;374009;herstel van pectus excavatum met costosteroplastie
388008;Blepharorrhaphy;388008;blefaroraphie
401004;Distale subtotaal pancreatectomie;401004;distale subtotale pancreatectomie
445004;Reparatie van malunion van tibia;445004;herstel van malunion van de tibia
463004;Gesloten reductie van coxofemoral gezamenlijke dislocatie met spalk;463004;gesloten reductie van een heupluxatie met een spalk
474008;Esophagoenteric anastomose , intrathoracale;474008;intrathoracale slokdarmanastomose met dundarm
494004;Excisie van letsel van de tonsillen;494004;excisie van letsel van tonsil
497006;Vervanging van cochleaire prothese , meerdere kanalen;497006;vervangen van cochleaire prothese , meervoudige kanalen
531007;Open longklep commissurotomie met instroom occlusie;531007;open commissurotomie van pulmonaalklep met inflowocclusie
533005;Sluiting van vesicocolic fistel;533005;herstel van vesico - colische fistel
543008;Choledochostomy met transduodenal sphincteroplasty;543008;choledocostomie met transduodenale sfincterotomie
549007;Incisie van intracrani ë le ader;549007;incisie van een intracraniale vena
550007;Excisie van letsel van adenoids;550007;excisie van letsel van adeno ï ds
559008;Excisie van spataderen;559008;excisie van variceuze vene
603006;Verdeling van enige synchondrosis;603006;synchondrotomie
618007;Frontale sinusectomy;618007;sinusectomie van frontale sinus
625000;Verwijdering van boventallige cijferige;625000;amputatie van een surnummeraire vinger
628003;Steinman - test;628003;steinman test
629006;Lysis van verklevingen van urethra;629006;adhesiolyse van de urethra
647000;Excisie van de baarmoederhals door electroconization;647000;excisie van cervix door elecroconisatie
670008;Elektrochirurgische epileren van wenkbrauwen;670008;epilatie wenkbrauw met electrocoagulatie
671007;Transplantatie van testis;671007;testistransplantatie
673005;Indirecte laryngoscopy;673005;indirecte laryngoscopie
674004;Ontvoering test van de knie;674004;abductie test
