SNOMED conceptID;SNOMED term;Google translate vertaalde term;Thot vertaling;Matecat vertaling
166001;Behavioral therapy;Gedragstherapie;gedragstherapie;gedragstherapie
342002;Amobarbital interview;Amobarbital interview;amobarbital interview;amobarbital interview
618007;Frontal sinusectomy;Frontale sinusectomy;frontale sinusectomy;frontale sinusectomy
1163003;Ureteroenterostomy;Ureteroenterostomy;ureteroenterostomy;Ureteroenterostomy
1328002;Ilioiliac shunt;Ilioiliac shunt;ilioiliac shunt;Ilioiliac shunt
1337002;Colosigmoidostomy;Colosigmoidostomy;colosigmoidostomy;Colosigmoidostomy
1500007;Bilateral epididymovasostomy;Bilaterale epididymovasostomy;bilaterale epididymovasostomy;bilaterale epididymovasostomy
1533002;Ureteroplication;Ureteroplication;ureteroplication;Ureteroplication
1578004;Reconstruction of ossicles with stapedectomy;Reconstructie van gehoorbeentjes met stapedectomie;reconstructie van gehoorbeentjes met stapedectomie;Reconstructie van gehoorbeentjes met stapedectomie
1866009;Bilateral nephrectomy;Bilaterale nefrectomie;bilaterale nefrectomie;bilaterale nefrectomie
2166008;Bicuspidization of aortic valve;Bicuspidization van aortaklep;bicuspidization van aortaklep;Bicuspidization van de aortaklep
2178007;Ureterocentesis;Ureterocentesis;ureterocentesis;Ureterocentesis
2234009;Proctosigmoidopexy;Proctosigmoidopexy;proctosigmoidopexy;Proctosigmoidopexy
2644002;Cauterization of liver;Cauterisatie van de lever;cauterisatie van de lever;Cauterisatie van de lever
2752008;Incudopexy;Incudopexy;incudopexy;Incudopexy
2813008;Nephroureterocystectomy;Nephroureterocystectomy;nephroureterocystectomy;Nephroureterocystectomy
2847006;Cervical myelography;Cervicale myelografie;cervicale myelografie;Cervical myelografie
2933008;Pneumogynecography;Pneumogynecography;pneumogynecography;Pneumogynecography
3063009;Gastroscopy through artificial stoma;Gastroscopie via kunstmatige stoma;gastroscopie via kunstmatige stoma;Gastroscopie door middel van kunstmatige stoma
3287002;Cholecystogastrostomy;Cholecystogastrostomy;cholecystogastrostomy;cholecystogastrostomie
3320000;Autotransfusion;Autotransfusie;autotransfusie;autotransfusie
3413006;Blood cell morphology;Bloedcel morfologie;bloedcel morfologie;bloedmorfologie
3673007;Leadbetter urethral reconstruction;Leadbetter urethra reconstructie;leadbetter urethra reconstructie;Leadbetter urethrale wederopbouw
3778007;Manipulation of scrotal tissue;Manipulatie van scrotum weefsel;manipulatie van scrotum weefsel;Manipulatie van scrotum weefsel
3911000;Muscle transplantation;Spier transplantatie;spier transplantatie;Muscle transplantatie
4114003;Parenteral chemotherapy for malignant neoplasm;Parenterale chemotherapie voor maligne neoplasma;parenterale chemotherapie voor maligne neoplasma;Parenterale chemotherapie voor kwaadaardige gezwellen
4344007;Cryopexy;Cryopexy;cryopexy;cryopexie
4516005;Iridencleisis and iridotasis;Iridencleisis en iridotasis;iridencleisis en iridotasis;Iridencleisis en iridotasis
4570007;Chemopallidectomy;Chemopallidectomy;chemopallidectomy;chemopallidectomie
4581005;Coreoplasty;Coreoplasty;coreoplasty;plastische iris - operatie
4758006;Incudostapediopexy;Incudostapediopexy;incudostapediopexy;Incudostapediopexy
5019003;Direct laryngoscopy with biopsy;Directe laryngoscopie met biopsie;directe laryngoscopie met biopsie;Directe laryngoscopie met biopsie
5057003;Radical orbitomaxillectomy;Radicale orbitomaxillectomy;radicale orbitomaxillectomy;Radical orbitomaxillectomy
5233006;Lateral fasciotomy;Laterale fasciotomie;laterale fasciotomie;Lateral fasciotomie
5337005;Trocar biopsy;Trocar biopsie;trocar biopsie;trocar biopsie
5391008;Artificial voice rehabilitation;Kunstmatige stem revalidatie;kunstmatige stem revalidatie;Kunstmatige spraakrevalidatie
5431005;Percutaneous transluminal angioplasty;Percutane transluminale angioplastiek;percutane transluminale angioplastiek;Percutane transluminale angioplastiek
5447007;Transfusion;Transfusie;transfusie;Transfusie
5771004;Blepharotomy;Blepharotomy;blepharotomy;ooglidincisie
5785009;Forensic autopsy;Forensische autopsie;forensische autopsie;forensische autopsie
6069000;Panniculotomy;Panniculotomy;panniculotomy;Panniculotomy
6164008;Osteoclasis of clavicle;Osteoclasis van sleutelbeen;osteoclasis van sleutelbeen;Osteoclasis van sleutelbeen
6166005;Nephropyeloureterostomy;Nephropyeloureterostomy;nephropyeloureterostomy;Nephropyeloureterostomy
6190006;Colopexy;Colopexy;colopexy;colopexie
6227009;Relationship psychotherapy;relatie psychotherapie;relatie psychotherapie;relatie psychotherapie
6307005;Keratophakia;Keratophakia;keratophakia;Keratophakia
6429005;Heteroautogenous transplantation;Heteroautogenous transplantatie;heteroautogenous transplantatie;Heteroautogenous transplantatie
6521006;Polytomography;Polytomography;polytomography;Polytomography
6832004;Atherectomy;atherectomie;atherectomie;atherectomie
7108004;Osteoclasis;Osteoclasis;osteoclasis;Osteoclasis
7613004;Dacryoadenotomy;Dacryoadenotomy;dacryoadenotomy;Dacryoadenotomy
8031000;Vaginogram;Vaginogram;vaginogram;Vaginogram
8093000;Transureteroureterostomy;Transureteroureterostomy;transureteroureterostomy;Transureteroureterostomy
8215004;Lisfranc shoulder disarticulation;Lisfranc schouder exarticulatie;lisfranc schouder exarticulatie;Lisfranc schouder exarticulatie
8246000;Electroencephalogram during carotid surgery;Elektro tijdens carotis chirurgie;elektro tijdens carotis chirurgie;Elektro tijdens carotis chirurgie
8294001;Rhogam crossmatch;Rhogam crossmatch;rhogam crossmatch;Rhogam crossmatch
8606002;Transillumination of nasal sinuses;Transilluminatie van neusbijholten;transilluminatie van neusbijholten;Transilluminatie van neusbijholten
8624000;Drainage of infratemporal fossa;Drainage van infratemporal fossa;drainage van infratemporal fossa;Drainage van infratemporal fossa
8782006;Radical perineal prostatectomy;Radicale perineale prostatectomie;radicale perineale prostatectomie;Radicale perineale prostatectomie
8803008;Iridosclerotomy;Iridosclerotomy;iridosclerotomy;Iridosclerotomy
8906004;Cecocolostomy;Cecocolostomy;cecocolostomy;Cecocolostomy
8917003;Laryngotracheotomy;Laryngotracheotomy;laryngotracheotomy;Laryngotracheotomy
8929007;Esophagogastropexy;Esophagogastropexy;esophagogastropexy;Esophagogastropexy
9093009;Thyrochondrotomy;Thyrochondrotomy;thyrochondrotomy;Thyrochondrotomy
9215005;Colotomy;Colotomy;colotomy;colotomie
9421007;Bougienage;Bougienage;bougienage;sondering
9517003;Mirror examination;Mirror onderzoek;mirror onderzoek;Mirror onderzoek
9580008;Chemothalamectomy;Chemothalamectomy;chemothalamectomy;chemothalamectomie
9591001;Gestalt therapy;Gestalttherapie;gestalttherapie;Gestalttherapie
9897006;Receptor binding site activity;Receptor bindingsplaats activiteit;receptor bindingsplaats activiteit;Receptor bindingsplaats activiteit
10029008;Suicide precautions;zelfmoord voorzorgsmaatregelen;zelfmoord voorzorgsmaatregelen;zelfmoord voorzorgsmaatregelen
10046006;Cystoureterolithotomy;Cystoureterolithotomy;cystoureterolithotomy;Cystoureterolithotomy
10107006;Duodenoduodenostomy;Duodenoduodenostomy;duodenoduodenostomy;Duodenoduodenostomy
10281002;Scalenectomy;Scalenectomy;scalenectomy;Scalenectomy
10724008;Microsurgery;microchirurgie;microchirurgie;microchirurgie
10795000;Ventriculocaval shunt with valve;Ventriculocaval shunt met klep;ventriculocaval shunt met klep;Ventriculocaval shunt met klep
10847001;Bronchoscopy;bronchoscopie;bronchoscopie;Bronchoscopie
10869008;Hemigastrectomy with vagotomy;Hemigastrectomy met vagotomie;hemigastrectomy met vagotomie;Hemigastrectomy met vagotomie
11343000;Anoscopy with biopsy;Anoscopie met biopsie;anoscopie met biopsie;Anoscopie met biopsie
11466000;Cesarean section;Keizersnede;keizersnede;Keizersnede
11510003;Recement crown;recement kroon;recement kroon;recement kroon
12237002;Achillorrhaphy;Achillorrhaphy;achillorrhaphy;achillorraphie
12285001;Therapeutic mechanical traction;Therapeutische mechanische tractie;therapeutische mechanische tractie;Therapeutische mechanische tractie
12666009;Cholecystocolostomy;Cholecystocolostomy;cholecystocolostomy;colocholecystostomie
12672009;Proctolysis;Proctolysis;proctolysis;proctoclysis
12717000;Viral culture;viruskweek;viruskweek;viruskweek
12744005;Perineal urethroscopy;perineale urethroscopie;perineale urethroscopie;perineale urethroscopie
12845003;Malaria smear;malaria uitstrijkje;malaria uitstrijkje;malaria uitstrijkje
13091001;Dilation and curettage;Dilatatie en curettage;dilatatie en curettage;Dilatatie en curettage
13173008;Cryptotomy of anus;Cryptotomy van de anus;cryptotomy van de anus;Cryptotomy van de anus
13385008;Mediate auscultation;bemiddelen auscultatie;bemiddelen auscultatie;bemiddelen auscultatie
13490005;Conchotomy;Conchotomy;conchotomy;conchotomie
13513008;Cycloanemization;Cycloanemization;cycloanemization;Cycloanemization
13573001;Patellapexy;Patellapexy;patellapexy;Patellapexy
13714004;Arthroscopy;artroscopie;artroscopie;Artroscopie
13785006;Mucogingival surgery, per quadrant;Mucogingival chirurgie , per kwadrant;mucogingival chirurgie , per kwadrant;Mucogingival chirurgie , per kwadrant
13846009;Augmentation of buttock;Augmentation van bil;augmentation van bil;Augmentation van bil
13852005;Transabdominal gastroscopy;transabdominal gastroscopie;transabdominal gastroscopie;transabdominal gastroscopie
14152002;Intravenous infusion;intraveneuze infusie;intraveneuze infusie;Intraveneus
14192000;Excision of sinus tarsi;Excisie van sinus tarsi;excisie van sinus tarsi;Excisie van sinus tarsi
14305004;Vasography;Vasography;vasography;Vasography
14404001;Thymopexy;Thymopexy;thymopexy;Thymopexy
14476003;Epididymorrhaphy;Epididymorrhaphy;epididymorrhaphy;Epididymorrhaphy
14509009;Evisceration;Evisceration;evisceration;exenteratio
14766002;Aspiration;Aspiratie;aspiratie;Aspiratie
14792009;Tattooing;tatoe ë ren;tatoe ë ren;tatoeering
15558000;Expressive psychotherapy;expressieve psychotherapie;expressieve psychotherapie;expressieve psychotherapie
15613003;Ischemic forearm exercise test;Ischemische onderarm inspanningstest;ischemische onderarm inspanningstest;Ischemische onderarm inspanningstest
16398009;Hypotympanotomy;Hypotympanotomy;hypotympanotomy;Hypotympanotomy
16511003;Donor keratectomy;donor keratectomie;donor keratectomie;donor keratectomie
16620001;Kidney stone analysis;Niersteen analyse;niersteen analyse;Niersteen analyse
16736007;Transcatheter therapy for embolization;Transcatheter therapie voor embolisatie;transcatheter therapie voor embolisatie;Transcatheter therapie voor embolisatie
