conceptId;Engelse beschrijving;Vertalingen;conceptId;snomedBeVertaling
5447007;Transfusion;Transfusie;5447007;transfusie
8782006;Radical perineal prostatectomy;Radicale perineale prostatectomie;8782006;radicale perineale prostatectomie
11466000;Cesarean section;Keizersnede;11466000;keizersnede
12744005;Perineal urethroscopy;perineale urethroscopie;12744005;perineale urethroscopie
13714004;Arthroscopy;artroscopie;13714004;arthroscopie
13852005;Transabdominal gastroscopy;transabdominal gastroscopie;13852005;transabdominale gastroscopie
19060000;Cauterization of vocal cords;Cauterisatie van de stembanden;19060000;cauterisatie van de stembanden
19578002;Arthrodesis;artrodese;19578002;artrodese
19606007;Endarterectomy of aortic arch;Endarterectomie van aortaboog;19606007;endarterectomie van aortaboog
22510001;Osteotomy of femoral neck;Osteotomie van femurhals;22510001;osteotomie van femurhals
22523008;Vasectomy;vasectomie;22523008;vasectomie
26294005;Radical prostatectomy;radicale prostatectomie;26294005;radicale prostatectomie
27779004;Sternotomy;sternotomie;27779004;sternotomie
28644007;Vaginal enterocelectomy;vaginale enterocelectomy;28644007;vaginale enterocolectomie
28903008;Percutaneous angioscopy;percutane angioscopie;28903008;percutane angioscopie
29532006;Proctoscopy with biopsy;Proctoscopie met biopsie;29532006;proctoscopie met biopsie
30583008;Cauterization of urethra;Cauterisatie van de urethra;30583008;cauterisatie van de urethra
31489003;Drainage of inner ear;Drainage van binnenoor;31489003;drainage van binnenoor
31904001;Adrenalectomy;adrenalectomie;31904001;adrenalectomie
32432000;Uterocentesis;Uterocentesis;32432000;uterocentesis
36253005;Suprapubic prostatectomy;suprapubische prostatectomie;36253005;suprapubische prostatectomie
36412004;Manipulation of thymus;Manipulatie van thymus;36412004;manipulatie van thymus
38102005;Cholecystectomy;cholecystectomie;38102005;cholecystectomie
41360004;Nasotracheal aspiration;nasotracheale aspiratie;41360004;nasotracheale aspiratie
41371003;Perineal prostatectomy;perineale prostatectomie;41371003;perineale prostatectomie
42238002;Proctoscopy;proctoscopie;42238002;proctoscopie
42837001;Excision of aortic arch;Excisie van aortaboog;42837001;excisie van aortaboog
42843004;Laparoscopic adrenalectomy;laparoscopische adrenalectomie;42843004;laparoscopische adrenalectomie
42980009;Excision of perianal tissue;Excisie van perianale weefsel;42980009;excisie van peri-anaal weefsel
43060002;Intravenous injection;intraveneuze injectie;43060002;intraveneuse  injectie
45334006;Mediastinoscopy with biopsy;Mediastinoscopie met biopsie;45334006;mediastinoscopie met biopsie
45595009;Laparoscopic cholecystectomy;laparoscopische cholecystectomie;45595009;laparoscopische cholecystectomie
45919008;Excision of secondary membrane;Excisie van secundaire membraan;45919008;excisie van secundair membraan
47020004;Ventriculoperitoneal shunt;ventriculoperitoneale shunt;47020004;ventriculoperitoneale shunt
48507008;Iridesis;Iridesis;48507008;iridesis
49187005;Endarterectomy of aorta;Endarterectomie van aorta;49187005;endarterectomie van aorta
49438003;Appendectomy with drainage;Appendectomie met drainage;49438003;appendectomie met drainage
49924002;Perineal colostomy;perineale colostomie;49924002;perineale colostomie
52889002;Endocervical curettage;endocervicale curettage;52889002;endocervicale curettage
54956002;Gastrostomy;gastrostomie;54956002;gastrostomie
56520006;Excision of cardioma;Excisie van cardioma;56520006;exicise van cardioma
57271003;Extraperitoneal cesarean section;Extraperitoneale keizersnede;57271003;extraperitoneale keizersnede
57551006;Iridotasis;Iridotasis;57551006;iridoasis
60041003;Laryngopharyngectomy;laryngofaryngectomie;60041003;laryngofaryngectomie
60177007;Mechanical vitrectomy;mechanische vitrectomie;60177007;mechanische vitrectomie
60465006;Permanent gastrostomy;permanente gastrostomie;60465006;permanente gastrostomie
61328004;Gastroduodenoscopy;gastroduodenoscopie;61328004;gastro-duodenoscopie
62409009;Foraminotomy;foraminotomie;62409009;foraminotomie
62843007;Manipulation of lung;Manipulatie van long;62843007;manipulatie van long
63933000;Ventriculostomy;ventriculostomie;63933000;ventriculostomie
64063003;Radical cystectomy;radicale cystectomie;64063003;radicale cystectomie
64608008;Excision of ascending aorta;Excisie van aorta ascendens;64608008;excisie van aorta ascendens
65310005;Vagotomy;vagotomie;65310005;vagotomie
66478002;Total laryngectomy;totale laryngectomie;66478002;totale laryngectomie
