conceptId;Engelse beschrijving;Vertalingen;conceptId;snomedBeVertaling
618007;Frontal sinusectomy;Frontale sinusectomy;618007;sinusectomie van frontale sinus
1163003;Ureteroenterostomy;Ureteroenterostomy;1163003;uretero-enterostomie
1328002;Ilioiliac shunt;Ilioiliac shunt;1328002;ilio-iliacale shunt
1578004;Reconstruction of ossicles with stapedectomy;Reconstructie van gehoorbeentjes met stapedectomie;1578004;ketenreconstructie met stapedectomie
2234009;Proctosigmoidopexy;Proctosigmoidopexy;2234009;procto-sigmoiedopexie
2644002;Cauterization of liver;Cauterisatie van de lever;2644002;cauterizeren van de lever
2752008;Incudopexy;Incudopexy;2752008;incudopexie
4758006;Incudostapediopexy;Incudostapediopexy;4758006;incudostapediopexie
5019003;Direct laryngoscopy with biopsy;Directe laryngoscopie met biopsie;5019003;directe laryngoscopie met bioptiename
6164008;Osteoclasis of clavicle;Osteoclasis van sleutelbeen;6164008;osteoclasie van de clavicula
6307005;Keratophakia;Keratophakia;6307005;keratofakie
8093000;Transureteroureterostomy;Transureteroureterostomy;8093000;transuretero-ureterostomie
8215004;Lisfranc shoulder disarticulation;Lisfranc schouder exarticulatie;8215004;lisfranc schouderdesarticulatie
8906004;Cecocolostomy;Cecocolostomy;8906004;caecostomie
8929007;Esophagogastropexy;Esophagogastropexy;8929007;oesofago-gastropexie
10281002;Scalenectomy;Scalenectomy;10281002;scalenectomie
10795000;Ventriculocaval shunt with valve;Ventriculocaval shunt met klep;10795000;aanleggen ventriculocavale shunt met klep
11343000;Anoscopy with biopsy;Anoscopie met biopsie;11343000;anusscopie met biopsie
13303004;Posterior sclerotomy;posterior sclerotomie;13303004;posterieure sclerotomie
13513008;Cycloanemization;Cycloanemization;13513008;cycloanemisatie
13846009;Augmentation of buttock;Augmentation van bil;13846009;augmentatie van de bil
14192000;Excision of sinus tarsi;Excisie van sinus tarsi;14192000;excisie van de sinus tarsi
14404001;Thymopexy;Thymopexy;14404001;thymopexie
16866008;Larrey shoulder disarticulation;Larrey schouder exarticulatie;16866008;larrey schouderdesarticulatie
17444001;Biopsy of omentum;Biopsie van omentum;17444001;biopsie van het omentum
17473003;Cecotomy;Cecotomy;17473003;caecotomie
19062008;Encephalocentesis;Encephalocentesis;19062008;encefalocentese
19317004;Posterior anal sphincterotomy;Posterior anale sfincterotomie;19317004;dorsale anale sfincterotomie
20119004;Ureterocecostomy;Ureterocecostomy;20119004;uretero-caecostomie
21123000;Iridosclerectomy;Iridosclerectomy;21123000;iridosclerectomie
21805006;Removal of salpingothecal shunt;Verwijdering van salpingothecal shunt;21805006;verwijderen van salpingothecale shunt
21815000;Nasotracheobronchial catheter aspiration;Nasotracheobronchial katheter aspiratie;21815000;nasotracheobronchiale katheteraspiratie
23379002;Cyclotomy;Cyclotomy;23379002;incisie ciliaire lichaam
23928003;Costochondrectomy;Costochondrectomy;23928003;costochondrectomie
24026006;Intra-abdominal venous shunt;Intra - abdominale veneuze shunt;24026006;intra-abdominale veneuze shunt
24420007;Sigmoidoscopy;sigmo ï doscopie;24420007;sigmoiedoscopie
24462000;Trocar cholecystotomy;trocar cholecystotomy;24462000;cholecystostomie met trocar
24485004;Trochanterplasty;Trochanterplasty;24485004;plastie van de trochanter
26302000;Osteorrhaphy;Osteorrhaphy;26302000;Osteorafie
26978009;Myotomy of intestine;Myotomie darm;26978009;myotomie van de darm
27041000;Cholecystoileostomy;Cholecystoileostomy;27041000;cholecysto-ileostomie
27613000;Ventriculopleural shunt with valve;Ventriculopleural shunt met klep;27613000;ventriculopleurale shunt
27813003;Intra-articular injection;Intra - articulaire injectie;27813003;intraarticulaire infiltratie
28467003;Intrathoracic esophagoileostomy;intrathoracale esophagoileostomy;28467003;intrathoracale oesofago-ileostomie
28725006;Trachelopexy;Trachelopexy;28725006;trachelopexie
29216007;Talectomy;Talectomy;29216007;talectomie
29825008;Implantation of vitreous;Implantatie van glasvocht;29825008;vitreumimplantatie
31694007;Fenestration of intervertebral disc;Fenestration van tussenwervelschijf;31694007;fenestratie van intervertebrale discus
31738002;Jejunocecostomy for obesity;Jejunocecostomy voor obesitas;31738002;jejuno-caecostomie voor obesitas
32238004;Empyemectomy;Empyemectomy;32238004;empyemectomie
32578005;Biopsy of appendix;Biopsie van appendix;32578005;biopsie van de appendix
32894008;Bone graft of patella;Bottransplantaat patella;32894008;plaatsen van botgreffes in de patella
33756006;Partial adrenalectomy;gedeeltelijke adrenalectomie;33756006;partiële adrenalectomie
34130000;Cholecystocecostomy;Cholecystocecostomy;34130000;cholecystocecostomie
34945008;Angiocardiography;angiocardiografie;34945008;angiografie van het hart
35212009;Excision of nipple lesion;Excisie van tepel laesie;35212009;excisie van letsel van tepel
35219000;Biopsy of hypopharynx;Biopsie van hypofarynx;35219000;biopsie van de hypofarynx
35686005;Labyrinthotomy with cryosurgery, transcanal;Labyrinthotomy met cryochirurgie , transcanal;35686005;labyrinthotomie door cryochirurgie
36496002;Ureterocaliceal anastomosis;Ureterocaliceal anastomose;36496002;uretero-caliciale anastomose
37073001;Decompression of labyrinth;Decompressie van labyrint;37073001;labyrinthdecompressie
38018001;Fenestration of tympanic membrane;Fenestration van trommelvlies;38018001;aanleggen fenestratie van trommelvlies
38497001;Enterolithotomy;Enterolithotomy;38497001;verwijderen van steen uit de darm
38546007;Cardiocentesis;Cardiocentesis;38546007;cardiocentese
38616001;Thermosclerectomy;Thermosclerectomy;38616001;sclerectomie met warmte
39267002;Pericardiorrhaphy;Pericardiorrhaphy;39267002;pericardiorraphie
39667005;Amygdalohippocampotomy;Amygdalohippocampotomy;39667005;amygdalohippocampectomie
40345006;Retinaculotomy;Retinaculotomy;40345006;retinaculotomie
40701008;Echocardiography;echocardiografie;40701008;echografie hart
40708002;Pupillotomy;Pupillotomy;40708002;pupillotomie
40995000;Pancreaticocystojejunostomy;Pancreaticocystojejunostomy;40995000;pancreaticocystojejunostomie
41339005;Coronary angioplasty;coronaire angioplastiek;41339005;angioplastie van coronaire arterie
42161006;Keratocentesis;Keratocentesis;42161006;punctie van het hoornvlies
43232006;Extrapleural pneumonectomy with empyemectomy;Extrapleurale pneumonectomie met empyemectomy;43232006;extrapleurale pneumonectomie met uitruiming van empyeem
44703001;Trabeculotomy ab externo;Trabeculotomy ab externo;44703001;trabeculotomie ab extreno
45052000;Abdominouterotomy;Abdominouterotomy;45052000;abdomino-uterotomie
45657005;Transmetacarpal amputation, reamputation;Transmetacarpal amputatie , reamputation;45657005;reamputatie transmetacarpaal
48127001;Osteoclasis of fibula;Osteoclasis van fibula;48127001;osteoclasie van de fibula
48537004;Bypass graft;bypass;48537004;bypass greffe
48783008;Choledochopancreatostomy;Choledochopancreatostomy;48783008;choledoco-pancreaticostomie
49586007;Appendicocecostomy;Appendicocecostomy;49586007;appendicocaecostomie
49676001;Closed mitral valve commissurotomy;Gesloten mitralisklep commissurotomie;49676001;minimaal invasieve commissurotomie van mitraalklep
51431001;Bone graft of femur;Bottransplantaat femur;51431001;plaatsen van botgreffes in het femur
51968005;Sesamoidectomy;Sesamoidectomy;51968005;sesamoidectomie
52998000;Pantalar arthrodesis;Pantalar artrodese;52998000;pantalaire arthrodese
53087005;Intrathoracic esophagocolostomy;intrathoracale esophagocolostomy;53087005;intrathoracale oesofago-colostomie
53145005;Lymphangiotomy;Lymphangiotomy;53145005;lymfangiotomie
53251008;Incudectomy with stapedectomy;Incudectomy met stapedectomie;53251008;incudectomie met stapedectomie
54033009;Cystourethroplasty;Cystourethroplasty;54033009;cystourethroplastie
54636000;Cardiomyopexy;Cardiomyopexy;54636000;cardiomyopexie
54750003;Pyelorrhaphy;Pyelorrhaphy;54750003;pyelorraphie
56153009;Reconstruction of radial head;Reconstructie van radiuskop;56153009;arthroplastiek van radiuskop
56433002;Thyroidorrhaphy;Thyroidorrhaphy;56433002;thyroïdorrhafie
56833008;Office endometrial curettage;Office endometrium curettage;56833008;ambulante endometriale curettage
57561004;Osteotomy of calcaneus;Osteotomie van calcaneus;57561004;osteotomie van de calcaneus
58090001;Pancreaticocystoenterostomy;Pancreaticocystoenterostomy;58090001;pancreaticocystoenterostomie
58515002;Cryoleucotomy;Cryoleucotomy;58515002;cryoleucotomie
58889009;Laserpexy;Laserpexy;58889009;laserpexie
58985002;Cauterization of vulva;Cauterisatie van de vulva;58985002;Cauterisatie van vulva
59230000;Removal of valve of vas deferens;Verwijdering van klep vas deferens;59230000;verwijderen klep vas deferens
59912004;Pancreaticoduodenostomy;Pancreaticoduodenostomy;59912004;pancreatico-duodenostomie
60809008;Biopsy of clitoris;Biopsie van clitoris;60809008;biopsie van de clitoris
60892005;Jejunojejunostomy;Jejunojejunostomy;60892005;jejuno-jejunostomie
61151005;Cholecystopancreatostomy;Cholecystopancreatostomy;61151005;cholecysto-pancreaticostomie
61303007;Open tenotomy of iliopsoas;Open tenotomie van iliopsoas;61303007;open tenotomie van de iliopsoas
61732007;Trephine sclerectomy;trephine sclerectomy;61732007;sclerectomie met trepaan
61735009;Hepatoduodenostomy;Hepatoduodenostomy;61735009;hepato-duodenostomoie
61829000;Curettage of muscle;Curettage spier;61829000;curettage van spier
62726004;Fetal clavicotomy;foetale clavicotomy;62726004;claviculotomie bij foetus
63104000;Osteoclasis of patella;Osteoclasis van patella;63104000;osteoclasie van de patella
63296004;Excision of aorta;Excisie van aorta;63296004;excisie van de aorta
63313009;Lumbar sympathetic ganglionectomy;Lumbale sympathische ganglionectomy;63313009;lumbale sympathische ganglionectomiçe
63389004;Drainage of bursa;Drainage van bursa;63389004;drainage van de bursa
63699002;Renoportal anastomosis;Renoportal anastomose;63699002;reno-portale anastomose
64562004;Hysterotrachelorrhaphy;Hysterotrachelorrhaphy;64562004;hysterotrachelorraphie
64656002;Ventriculomyocardiotomy;Ventriculomyocardiotomy;64656002;ventriculomyocardiotomie
64663002;Prostatic massage;prostaat massage;64663002;prostaatmassage
66226002;Extraction of after cataract with capsulotomy;Extractie van na cataract met capsulotomie;66226002;verwijderen van nasaar door capsulotomie
66542005;Zonulolysis with lens extraction;Zonulolysis met lensextractie;66542005;zonulolyse met lensextractie
66633009;Nephrocystanastomosis;Nephrocystanastomosis;66633009;nefrocystanastomose
66943005;Ureterectomy with bladder cuff;Ureterectomie met blaas cuff;66943005;ureterectomie met blaascuff
67212000;Ileocystoplasty;Ileocystoplasty;67212000;ileocystoplastie
67354000;Removal of lumbosubarachnoid shunt;Verwijdering van lumbosubarachnoid shunt;67354000;verwijderen van een lumbosubarachnoïdale shunt
67706006;Pancreatolithotomy;Pancreatolithotomy;67706006;pancreaticolithotomie
68011001;Clitoridotomy;Clitoridotomy;68011001;clitoridotomie
68275008;Temporary suture of anus;Tijdelijke hechting van de anus;68275008;tijdelijk sluiten van de anus
69171004;Excision of radial head;Excisie van radiuskop;69171004;excisie van de kop van de radius
69179002;Percutaneous arterial cutdown;Percutane arteri ë le cutdown;69179002;percutane arteriële cutdown
70031002;Oophorostomy;Oophorostomy;70031002;oöphorostomie
