snomed b id;snomed b term;thot id;thot term
142007;excisie van diepe intramusculaire tumor van de schouderstreek;142007;excisie van van de schouderstreek diepe intramusculaire
306005;echografie nier;306005;echo nier
388008;blefaroraphie;388008;blefarorafie
533005;herstel van vesico - colische fistel;533005;sluiten van fistel
625000;amputatie van een surnummeraire vinger;625000;verwijdering van overtollige vingers of tenen
807005;excisie van de hersenen;807005;hersenen
867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus;867007;aanleggen van een anastomose n . facialis ( vii ) - n . hypoglossus
926001;katheter embolectomie van de arteria radialis via arm incisie;926001;katheter embolectomie van arteria radialis via arm incisie
1041009;debridement van een open fractuur van een falanx van de voet;1041009;d é bridement van open fractuur van falanx van voet
1119007;gesloten reductie van luxatie van de teen en voet;1119007;gesloten reductie van luxatie van voet en teen
1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose;1227005;incisie subvalvulair weefsel for subvalvulaire aorta syenose
1253002;revisie fusie van de wervelkolom;1253002;revisie fusie van wervelkolom
1279006;herstel onderhuids zakje voor pacemaker;1279006;herstel onderhuids zakje voor pacemaker de huid
1292009;NMR blaas;1292009;nmr blaas
1449002;epilatie;1449002;ontharing
1689004;lokale excisie van het ovarium;1689004;excisie van eierstoklaesie
2199005;excisie van een letsel in de cul - de - sac ( douglas );2199005;excisie van de cul - de - sac
2244006;arthroscopische stabilisatie van de pols met interne fixatie;2244006;arthroscopie van de pols met interne fixatie
2337004;adductor tenotomie van de heup;2337004;tenotomie ( abductor )
2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm;2632000;incisie en drainage van ge ? nfecteede bursa van bovenarm
2690005;NMR bekken;2690005;bekken mri
2908005;cryotherapie van haemorroiden;2908005;cryochirurgie van aambeien
2968008;craniectomie met behandeling van een penetrerende wonde;2968008;craniectomie met behandeling van penetrerende wonde
3063009;gastroscopie door artifici ë le stoma;3063009;gastroscopie via stoma
3078002;katheter embolectomie van de arteria renalis via abdominale incisie;3078002;katheter embolectomie van arteria renalis via abdominale incisie
3183007;sluiten van colostomie;3183007;colostomie sluiting
3258003;cerebrale angiografie;3258003;cerebrale arteriografie
3360004;galweganastomose;3360004;galblaasanastomose
3418002;chondrectomie van de wervelkolom;3418002;discectomie
3562008;Rodne Smith operatie , radicale subtotale pancreatectomie;3562008;rodne smith operatie , radicale subtotale pancreatectomie
3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van Blalock - Park;3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van blalock - park
3713005;losmaken voor de quervain ' s tenosynovitis van de hand;3713005;losmaken voor de quervain ' s tenosynovitis van hand
3758004;trombectomie met katheter van de arteria subclavia via nek incisie;3758004;trombectomie met katheter van arteria subclavia via nek incisie
3826004;drainage abces van ooglid;3826004;ooglidabcesdrainage
3880007;excisie van letsel ter hoogte van de fibula;3880007;excisie van de fibula
4044002;definitieve colostomie;4044002;permanente colostomie
4176005;Operatie van Fothergill voor baarmoeder;4176005;operatie van fothergill voor baarmoeder
4336007;Lloyd - Davies abdomino - perineale resectie;4336007;lloyd - davies abdomino - perineale resectie
4420006;incisie en drainage van parafaryngeaal abces , externe benadering;4420006;incisie en drainage van parafaryngeaal abces , externa toegang
4450003;Plaatsen van Kirschner draad;4450003;plaatsen van kirschner draad
4467005;excisie van diepe intramusculaire tumor van de enkelstreek;4467005;excisie van van diepe intramusculaire
4505003;tenolyse van een flexorpees van de onderarm;4505003;adhesiolyse van flexorpees van de onderarm
4507006;fasciotomie van het flexor - en extensorcompartiment van de pols;4507006;decompressie fasciotomie van de pols het flexor - en
4542005;gesloten reductie vaneen fractuur van de voet;4542005;gesloten reductie van fractuur
4558008;anterior resectie van het rectum;4558008;anterior resectie van rectum
4849008;biopsie van het ovarium;4849008;biopsie eierstok
4862007;revisie van colonanastomose;4862007;dikkedarmanastomose bloeding
5119000;epiglottidectomy;5119000;epiglottidectomie
5151004;manuele reductie van hemorro î den;5151004;manuele reductie van hemorro ï den
5216004;driedimensionale echografische beeldvorming van het hart;5216004;echocardiografie , driedimensionele
5521000;open reductie van een fractuur van een falanx van de voet;5521000;open reductie van een falanx van de voet
5571002;excisie van letsel van aorta met end - to - end - anastomose;5571002;excisie van letsel van aorta met end - to - end anastomose
5616006;osteoplastie van de tibia;5616006;osteoplastie van tibia
5671007;verwijderen vreemd voorwerp uit het ciliair lichaam met magneet;5671007;magneet extractie van vreemd voorwerp uit het ciliair lichaam
5789003;darm adhaesiolysis;5789003;darmadhesielyse
5865004;open reductie van luxatie van de teen;5865004;open reductie van luxatie van teen
5998008;radicale dissectie van de lies;5998008;liesdissectie onder regionale anesthesie
6007000;NMR borstkas;6007000;nmr borstkas
6148000;chondrectomie van semilunair kraakbeen van de knie;6148000;kniemeniscusverwijdering
6157006;ERCP met biopsie;6157006;ercp met biopsie
6402000;excisie van de ductus choledochus;6402000;choledochectomie
6419003;excisie van een diepe subfasciale tumor ter hoogte van de elleboog;6419003;excisie van tumor van de elleboog diepe subfasciale
6465000;incisie en drainage van het glenohumeraal gewricht omwille van infectie;6465000;arthrotomie van het glenohumeraal gewricht met drainage omwille van infectie
6535008;excisie van een cyste van de hand;6535008;excisie van de hand
6601003;verwijderen vreemd lichaam uit axilla;6601003;verwijderen van vreemd lichaam uit axilla
6708002;intrauterine cordocentesis;6708002;cordocentese
6726004;transabdominale drainage van appendiculair abces;6726004;drainage van appendiculair abces langs abdominale weg
6727008;excisie van een botletsel ter hoogte van de humerus;6727008;excisie van van de humerus
6760006;excisie van een letsel ter hoogte van een falanx van de voet;6760006;excisie van een falanx van de voet
6774004;sluiten van tracheostomie;6774004;tracheostomie sluiting
6794008;oppervlakkige zacht weefsel biopsie van de pols;6794008;biopsie weke delen van pols , oppervlakkige
6967000;open reductie van de epifyse van de fibula;6967000;open reductie van epiphysiolyse van de fibula
7001008;incisie van het tongfrenulum;7001008;tongriemoperatie
7082004;reductie en inwendige fixatie van een fractuur van de hand;7082004;reductie van fractuur met inwendige fixatie
7246002;nierbiopsie;7246002;nier
7418001;vasthechten van fascia aan bot van de hand;7418001;vasthechten van fascia aan bot van handspier
7486007;herinsertie van spier;7486007;spierheraanhechting
7495004;liver stal liesbreukherstel van Stromeyer en h é patotomie Stromeyer;7495004;liver stal liesbreukherstel van stromeyer en h ? patotomie stromeyer
7642007;endarteri ë ctomie va abdominale arterie;7642007;endarteri ë ctomie van abdominale arterie
7797006;maag poliepectomie;7797006;maagpoliepectomie
7989006;verwijderen van een heupprothese;7989006;verwijdering van heupprotese
8020008;arthroplastiek van de schouder met synthetische gewrichtsprothese;8020008;schouderverplaatsing
8021007;arthrotomie van de elleboog voor infectie met verwijderen van vreemd voorwerp;8021007;arthrotomie van de elleboog voor infectie met verwijderen van vreemd lichaam
8174004;Roux - en - Y cholecysto - enterostomie;8174004;roux - en - y cholecysto - enterostomie
8290005;ge ï nduceerde cardioplegie;8290005;cardioplegie
8305008;verwijderen van corpus alienum uit het rectum onder narcose;8305008;verwijderen vreemd voorwerp uit het rectum onder narcose
8306009;diagnostische dopplerechografie;8306009;echo doppler
