SNOMED conceptID;Matecat vertaling
104001;Uitsnijden van letsel van patella
115006;Verwijderbare apparaten therapie
119000;Thoracoscopic gedeeltelijke lobectomie van de long
121005;Retrobulbaire injectie van therapeutische agens
128004;Hand microscopisch onderzoek van de huid
133000;Percutane implantatie van neurostimulator elektroden in neuromusculaire component
135007;Arthrotomie van polsgewricht met exploratie en biopsie
142007;Uitsnijden van de tumor uit schouders , diepe , intramusculaire
146005;Reparatie van nonunion van middenvoetsbeentje met bottransplantatie
153001;Cystourethroscopy met resectie van ureterocele
160007;Verwijdering van vreemde lichaam van de pees EN / OF peesschede
166001;gedragstherapie
170009;Speciale potentie schijf identificatie , vancomycine - test
174000;Harrison - Richardson operatie op de vagina
176003;Anastomose van het rectum
189009;Excisie laesie slagader
197002;Mal om gist conversie - test
230009;Miller operatie , urethrovesical schorsing
243009;Vervanging van de cerebrale ventriculaire buis
245002;Verdeling van de zenuw ganglion
262007;Percutane aspiratie van nierbekken
267001;Anale fistulectomy , multiple
285008;Incisie en drainage van de vulva
294002;Excisiebiopt van de gezamenlijke structuur van de wervelkolom
295001;Nonexcisional vernietiging van cyste of corpus ciliare
306005;Echografie van de nieren
316002;gedeeltelijke dacryocystectomy
334003;Panorex onderzoek van de onderkaak
342002;amobarbital interview
346004;Parodontale schaalvergroting en wortel schaven , per kwadrant
348003;Radionuclide dynamische functie studie
351005;Urine undiversion van ureteral anastomose
352003;Reagens RBC , voorbereiding antilichaam gesensibiliseerd pool
353008;IV / irrigatie toezicht
374009;Costosternoplasty voor pectus reparatie
388008;Blepharorrhaphy
389000;Tobramycin meting
401004;Distale subtotaal pancreatectomy
406009;Fulguration van maag laesie
417005;Ziekenhuis re - toelating
435001;Pulmonale inhalatiestudie
445004;Reparatie van malunion van tibia
456004;Total abdominale colectomy met ileostoma
459006;Gesloten condylotomy van de onderkaak
463004;Gesloten vermindering van coxofemorale gezamenlijke dislocatie met spalk
468008;glutathion meting
474008;Esophagoenteric anastomose , intrathoracale
489004;Ferritin meting
493005;Urobilinogeen meting , 48 uur per dag , uitwerpselen
494004;Uitsnijden van letsel van de tonsillen
497006;Vervanging van cochleaire prothese , meerdere kanalen
503003;cornea lijmen
531007;Open pulmonalisklep commissurotomie met instroom occlusie
533005;Sluiting van vesicocolic fistel
535003;Sluiting van ureterovesicovaginal fistel
540006;Antilichaam voor enkele en dubbele DNA meting
543008;Choledochostomy met transduodenal sphincteroplasty
