conceptId;Beschrijving;conceptId;Beschrijving Matecat
104001;excisie van letsel ter hoogte van de patella;104001;Uitsnijden van letsel van patella
133000;percutane implantatie van neurostimulator electroden in neuromusculaire component;133000;Percutane implantatie van neurostimulator elektroden in neuromusculaire component
142007;excisie van diepe intramusculaire tumor van de schouderstreek;142007;Uitsnijden van de tumor uit schouders , diepe , intramusculaire
146005;herstel van nonunion van metatarsaal met botgreffe;146005;Reparatie van nonunion van middenvoetsbeentje met bottransplantatie
153001;cystourethroscopie met resectie urethrocoele;153001;Cystourethroscopy met resectie van ureterocele
174000;procedure van harrison - richardson ter hoogte van vagina;174000;Harrison - Richardson operatie op de vagina
189009;excisie van letsel van arterie;189009;Excisie laesie slagader
262007;percutane aspiratie van de renale pelvis;262007;Percutane aspiratie van nierbekken
267001;meerdere anale fistulectomies;267001;Anale fistulectomy , multiple
294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom;294002;Excisiebiopt van de gezamenlijke structuur van de wervelkolom
306005;echografie nier;306005;Echografie van de nieren
334003;rx orthopantomogram;334003;Panorex onderzoek van de onderkaak
374009;herstel van pectus excavatum met costosteroplastie;374009;Costosternoplasty voor pectus reparatie
388008;blefaroraphie;388008;Blepharorrhaphy
401004;distale subtotale pancreatectomie;401004;Distale subtotaal pancreatectomy
445004;herstel van malunion van de tibia;445004;Reparatie van malunion van tibia
463004;gesloten reductie van een heupluxatie met een spalk;463004;Gesloten vermindering van coxofemorale gezamenlijke dislocatie met spalk
474008;intrathoracale slokdarmanastomose met dundarm;474008;Esophagoenteric anastomose , intrathoracale
494004;excisie van letsel van tonsil;494004;Uitsnijden van letsel van de tonsillen
497006;vervangen van cochleaire prothese , meervoudige kanalen;497006;Vervanging van cochleaire prothese , meerdere kanalen
531007;open commissurotomie van pulmonaalklep met inflowocclusie;531007;Open pulmonalisklep commissurotomie met instroom occlusie
533005;herstel van vesico - colische fistel;533005;Sluiting van vesicocolic fistel
543008;choledocostomie met transduodenale sfincterotomie;543008;Choledochostomy met transduodenal sphincteroplasty
549007;incisie van een intracraniale vena;549007;Insnijding van intracrani ë le ader
550007;excisie van letsel van adeno ï ds;550007;Uitsnijden van letsel van adenoids
559008;excisie van variceuze vene;559008;Excisie van spataders
603006;synchondrotomie;603006;Scheiding van enige synchondrosis
618007;sinusectomie van frontale sinus;618007;frontale sinusectomy
625000;amputatie van een surnummeraire vinger;625000;Verwijdering van boventallige cijferige
628003;steinman test;628003;Steinman - test
629006;adhesiolyse van de urethra;629006;Lysis van verklevingen van urethra
647000;excisie van cervix door elecroconisatie;647000;Excisie van baarmoederhals door electroconization
670008;epilatie wenkbrauw met electrocoagulatie;670008;Elektrochirurgische epileren van wenkbrauwen
671007;testistransplantatie;671007;Transplantatie van testis
673005;indirecte laryngoscopie;673005;indirect laryngoscopy
674004;abductie test;674004;Ontvoering test van de knie
710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior;710006;Thromboendarterectomy met graft van mesenterica
722009;fijne naaldbiopsie van de thymus;722009;Fijne naald biopsie van de thymus
754000;totale urethrectomie;754000;Totaal urethrectomy
764009;arthrodese van interphalangeaal gewricht van hallux;764009;Artrodese van interfalangeale gewricht van de grote teen
789003;subtemporale decompressie;789003;Cranial decompressie , subtemporal , supratentori ë le
807005;excisie van de hersenen;807005;Excisie van hersenen
817000;excisie van cyste van milt;817000;Uitsnijden van cyste van de milt
831000;schuiflade test;831000;schuifladetest
867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus;867007;Facial - hypoglossus anastomose
881009;cyclodialyse;881009;Cyclodialysis
911003;verwijderen subarachno - ureterale shunt;911003;Verwijdering van subarachno ï dale - ureteral shunt
926001;katheter embolectomie van de arteria radialis via arm incisie;926001;Embolectomie met catheter van polsslagader door arm incisie
935008;excisie bulbo - urethrale klier;935008;Excisie van cowperse klier
945005;excisie van tibia en fibula als greffe;945005;Excisie van scheenbeen en kuitbeen voor graft
948007;flebectomie van een intracraniale varikeuse vena;948007;Phlebectomy van ader intracrani ë le spataderen
1001000;cauterisatie van klier van Bartholin;1001000;Cauterisatie van klier Bartholin
1019009;verwijderen cornea epitheel;1019009;Verwijdering van hoornvliesepitheel
1029002;foetoscopie;1029002;fetoscopy
1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig;1036001;Het inbrengen van intravasculaire inrichting in gemeenschappelijke iliacale ader , compleet
1041009;debridement van een open fractuur van een falanx van de voet;1041009;Debridement van open fractuur van de kootjes van de voet
1044001;diagnostische echografie van het abdomen en het retroperitoneum;1044001;Echografie van de buik en retroperitoneum
1054002;incisie van de sfincter van Oddi;1054002;Insnijding van de kringspier van Oddi
1071001;proximale splenorenale anastomosis;1071001;Proximale splenorenal anastomose
1084005;excisie perinefrische cyste;1084005;Excisie van perinephric cyste
1093006;excisie van abdominale variceuse vene;1093006;Excisie van abdominale ader spatten
1119007;gesloten reductie van luxatie van de teen en voet;1119007;Gesloten vermindering van ontwrichting van de voet en tenen
1163003;uretero - enterostomie;1163003;Ureteroenterostomy
1176009;incisie van de inguinale regio;1176009;Insnijding van liesstreek
1198000;excisiebiopsie van de scapula;1198000;Excisiebiopt van het bot van schouderblad
1209007;arthroscopisch lateraal meniscaal herstel;1209007;Artroscopie van de knie met laterale meniscus reparatie
1225002;Rx humerus;1225002;Radiografie van opperarmbeen
1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose;1227005;Insnijden van subvalvulaire weefsel voor discrete subvalvulaire aortastenose
1235008;spiertransfer;1235008;Muscle overdracht
1253002;revisie fusie van de wervelkolom;1253002;Refusion van de wervelkolom
1266002;sluiten van fistel van trommelvlies;1266002;Sluiting van trommelvlies perforatie
1267006;electrocoagulatie van vaginaal letsel;1267006;Electrocoagulatie laesie van de vagina
1279006;herstel onderhuids zakje voor pacemaker;1279006;Reparatie van de pacemaker pocket in huid en / of onderhuids weefsel
1292009;NMR blaas;1292009;Magnetische resonantie beeldvorming van de urineblaas
1299000;resectie van appendiculaire stomp;1299000;Excisie van appendiculair stomp
1315009;reconstructie wenkbrauw;1315009;Reconstructie van de wenkbrauw
1328002;ilio - iliacale shunt;1328002;Ilioiliac shunt
1329005;doornemen van congenitaal larynxweb;1329005;Verdeling van aangeboren web van het strottenhoofd
1337002;colo - sigmoiedostomie;1337002;Colosigmoidostomy
1390003;laparoscopisch geassisteerde sigmoied resectie;1390003;- Laparoscopische bijgestaan ​​ sigmoid colectomy
1398005;directe trombectomie van vena iliaca via been incisie;1398005;Direct thrombectomy van iliacale ader van been incisie
1413003;penetrerende keratoplastie met allogreffe;1413003;Penetrerende keratoplasty met homograft
1414009;av shunt angiografie;1414009;Angiografie van arterioveneuze shunt
1449002;epilatie;1449002;Epileren
1501006;Altemeier ingreep , perineale rectum pull through;1501006;Altemeier operatie , perineale rectale pull - through
1576000;sluiten van utero - intestinale fistel;1576000;Sluiting van uteroenteric fistel
1578004;ketenreconstructie met stapedectomie;1578004;Reconstructie van gehoorbeentjes met stapedectomie
1585000;verlenging van de gastrocnemius;1585000;Verlenging van de gastrocnemius spier
1614003;bilateraal liesbreukherstel van directe hernia;1614003;Bilaterale reparatie van een liesbreuk , direct
1636000;injectie van scleroserend agens in variceuze vene;1636000;Injectie van scleroserende agent in spatader
1638004;cineplastische amputatie met cineplastische prothese van een lidmaat;1638004;Cineplastic amputatie met cineplastic prothese van extremiteit
1651009;excisie van de peesschede;1651009;Excisie van peesschede
1689004;lokale excisie van het ovarium;1689004;Lokale excisie van eierstok
1704001;herstel van een congenitale pseudartrose van de tibia;1704001;Reparatie van pseudarthrosis van tibia
1746005;plaatsen van sclerale buckle met iplant;1746005;Sclerale knik met implantaat
1747001;vervangen van spierstimulator;1747001;Vervanging van de skeletspieren stimulator
1753001;resectie van uveaal weefsle;1753001;Resectie van uveal weefsel
1757000;polsarthroscopie met partiele synovectomie;1757000;Artroscopie van de pols met gedeeltelijke synovectomy
1801001;biopsie langs endoscopische weg van het duodenum;1801001;Endoscopische biopsie van de twaalfvingerige darm
1811008;aspiratie van bursa van de hand;1811008;Aspiratie van de bursa van de hand
1844002;plicatuur van ligament;1844002;Sing van ligament
1859008;verwijderen van vreemd voorwerp van handpees;1859008;Verwijdering van vreemd lichaam uit pees van de hand
1868005;verwijderen van vreemd voorwerp uit de hersenen;1868005;Verwijdering van vreemde lichaam van de hersenen
1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie;1870001;Het inbrengen van Halo inrichting van de schedel met synchrone skelet tractie
1871002;herstel van coronaire arterie aneurysma;1871002;Reparatie van aneurysma van de kransslagader
1872009;hechting perineum bij de man;1872009;Suture van mannelijke perineum
1924009;hepaticotomie met drainage;1924009;Hepaticotomy met drainage
1958001;botgreffe van de duim en tranfer van huidflap;1958001;Enten van het bot van de duim met de overdracht van de huid flap
2067001;implantatie van elektromagnetisch hoorapparaat;2067001;Implantatie van elektromagnetische gehoorapparaat
2079001;re ï mplantatie van abnormale arteria pulmonalis;2079001;Re ï mplantatie van afwijkende longslagader
2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat;2080003;Angiectomy met anastomose van de onderste ledematen slagader
2137005;excisie pericard tumor;2137005;Excisie van pericardiale tumor
2166008;bicuspidisatie van aortaklep;2166008;Bicuspidization van de aortaklep
2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe;2193006;Reparatie van gescheurde aneurysma met een graft van coeliakie slagader
2199005;excisie van een letsel in de cul - de - sac ( douglas );2199005;Uitsnijden van letsel van cul - de - sac
2234009;procto - sigmoiedopexie;2234009;Proctosigmoidopexy
2242005;reconstructie ooglid;2242005;Reconstructie van het ooglid
2244006;arthroscopische stabilisatie van de pols met interne fixatie;2244006;Artroscopie van de pols met interne fixatie voor instabiliteit
2250001;resectie van aorta ascendens met anastomose;2250001;Resectie van stijgende aorta met anastomose
2270007;herstel van cleft hand;2270007;Reparatie van de hand gespleten
2276001;exploratie van de arteria poplitea;2276001;Verkenning van poplitea
2321005;vaginale partus volgens het manoeuvre van Ritgen;2321005;Levering door Ritgen manoeuvre
2337004;adductor tenotomie van de heup;2337004;Adductor tenotomie van hip
2364003;radicale resectie van zachtweefseltumor thv de pols;2364003;Radicale resectie van de tumor van zacht weefsel van de pols gebied
2386002;reductie van gesloten patellaluxatie;2386002;Vermindering van gesloten patella dislocatie
2393003;ligatuur van vene van onderste lidmaat;2393003;Ligatie van de ader van de onderste ledematen
2407009;resectie van mediastinale tumor;2407009;Excisie van mediastinale tumor
2409007;re ï nsertie van de voet;2409007;Herbevestiging van het uiteinde van de voet
2442008;insnijden canaliculus;2442008;Insnijding van traan canaliculus
2459003;destructieve procedure van arterie van bovenste lidmaat;2459003;Destructieve procedure van de slagader van de bovenste extremiteit
2474001;herstel van malunion van metatarsale beenderen;2474001;Reparatie van malunion van middenvoetsbeentjes
2536007;injectie van medicatie in de voorste oogkamer;2536007;Injectie van medicijnen in de voorste kamer van het oog
2564002;creatie van lumbale shunt met laminectomie;2564002;Oprichting van de lumbale shunt waaronder laminectomie
2566000;osteoplastie van de radius;2566000;Osteoplastiek van de straal
2567009;excisie van de rib via transaxillaire toegang;2567009;Resectie van rib door transaxillary aanpak
2580007;transplantatie van haarfollikels op de hoofdhuid;2580007;Transplantatie van de haarzakjes op de hoofdhuid
2601001;verwijderen van een botluik van de schedel;2601001;Het verwijderen van het bot flap van de schedel
2614000;verwijderen van ligatuur van eileider;2614000;Verwijdering van ligatuur van de eileider
2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm;2632000;Incisie en drainage van ge ï nfecteerde bursa van de bovenarm
2644002;cauterizeren van de lever;2644002;Cauterisatie van de lever
2659008;hechting van ligament van het onderste lidmaat;2659008;Suture van ligament van de onderste extremiteit
2690005;NMR bekken;2690005;Magnetische resonantie beeldvorming van het bekken
2716009;huid - vet - fascia greffe;2716009;Dermal - vet - fascia graft
2732007;recessie van pees van de hand;2732007;Recessie van de pees van de hand
2737001;infratentori ë le craniotomie;2737001;Verkennende craniotomy , infratentorieel
2743004;chirurgische endoscopie van het ileum;2743004;Operatieve endoscopie van de dunne darm
2745006;omentopexie;2745006;Omentopexy
2752008;incudopexie;2752008;Incudopexy
2813008;nefroureterocystectomie;2813008;Nephroureterocystectomy
2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie;2851008;Arthrotomie voor synovectomy van sternoclavicular joint
2854000;bursectomie van de hand;2854000;Bursectomy van de hand
2857007;complete pinealectomie;2857007;Volledige excisie van pijnappelklier
2875008;elleboogprothese;2875008;Implantatie van gewrichtsprothese in ellebooggewricht
2891006;parti ë le arthroscopische synovectomie van de elleboog;2891006;Artroscopie van de elleboog met gedeeltelijke synovectomy
2908005;cryotherapie van haemorroiden;2908005;Vernietiging van aambeien door cryotherapie
2915002;hechting van kapsel van het enkelgewricht;2915002;Suture van de capsule van de enkel
2960001;herstel van cervicale fistel;2960001;Sluiting van de fistel van baarmoederhals
2968008;craniectomie met behandeling van een penetrerende wonde;2968008;Craniectomy de behandeling penetreren wonde hersenen
2970004;metacarpaalverlenging en tranfer van een lokale flap;2970004;Middenhandsbeentje verlenging en overdracht van de lokale flap
2971000;sluiten van uretrovaginale fistel;2971000;Sluiting van verworven urethrovaginal fistel
2977001;trombectomie van vene van onderste lidmaat;2977001;Thrombectomy van ader onderste extremiteit
3001009;lobectomie met sleeveresectie van bronchus;3001009;Total lobectomie met bronchoplasty
3010001;verwijderen van silicone buisjes uit oor;3010001;Verwijdering van silastic buizen van oor
3026000;tibiotalaire arthrodese;3026000;tibio - talaire artrodese
3061006;volledige excisie van nagel en nagelmatrix;3061006;Volledige excisie van nagel en nagel matrix
3063009;gastroscopie door artifici ë le stoma;3063009;Gastroscopie door middel van kunstmatige stoma
3078002;katheter embolectomie van de arteria renalis via abdominale incisie;3078002;Embolectomie katheter met nierslagader door abdominale incisie
3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat;3090000;Aneurysmectomy met graft vervanging van de onderste ledematen slagader
3165004;spoeling van handspier;3165004;Irrigatie van de spieren van de hand
3177009;interne obstetrische kering;3177009;Interne verloskundige versie
3183007;sluiten van colostomie;3183007;Sluiting van de stoma
3186004;excisie van klieren van skene;3186004;Excisie van klier Skene
3190002;epilatie met tang;3190002;epileertang
3241008;correctie chordae met mobilisatie urethra;3241008;Correctie van chordee met de mobilisatie van de urethra
3249005;chirurgische aanmaak van bleb;3249005;Chirurgische bouw van filtratie blaar
3258003;cerebrale angiografie;3258003;Arteriografie van cerebrale arteri ë n
3278006;adhesiolyse van bursa van de hand;3278006;Lysis van verklevingen van de bursa van de hand
3287002;cholecysto - gastrostomie;3287002;cholecystogastrostomie
3360004;galweganastomose;3360004;Anastomose van de galwegen
3399007;reduceren van omentum volvulus;3399007;Vermindering van torsie van omentum
3418002;chondrectomie van de wervelkolom;3418002;Chondrectomy van de wervelkolom
3448004;fixatie contralaterale testis;3448004;Fixatie van contralaterale testis
3498003;hypofysechirurgie via transsfeno ï dale toegang;3498003;Totaal uitsnijding van de hypofyse door transsfenoidale aanpak
3499006;aspiratie van vitreum met vervanging;3499006;Aspiratie van glasvocht met vervangende
3515001;vervanging van cardiale pulsgenerator;3515001;Vervanging van de elektronische hart inrichting , pulsgenerator
3546002;aortocoronaire bypass met vena saphena;3546002;Aortocoronary artery bypass graft met vene graft
3559005;inbrengen ureterstent via ureterotomie;3559005;Het inbrengen van ureterstent met ureterotomy
3562008;Rodne Smith operatie , radicale subtotale pancreatectomie;3562008;Rodney Smith operatie , radicale subtotaal pancreatectomy
3564009;verwijderen van vreemd voorwerp uit eileider;3564009;Verwijdering van vreemde lichaam van eileider
3575008;herstel van fascia met fasciagreffe;3575008;Reparatie van fascia met een graft van fascia
