SNOMED conceptID;SNOMED term;Google translate vertaalde term;Matecat vertaling;thot vertaalde term medisch woordenboek + SNOMED be
342002;Amobarbital interview;Amobarbital interview;amobarbital interview;amobarbital interview
388008;Blepharorrhaphy;Blepharorrhaphy;Blepharorrhaphy;blefarorafie
543008;Choledochostomy with transduodenal sphincteroplasty;Choledochostomy met transduodenal sphincteroplasty;Choledochostomy met transduodenal sphincteroplasty;choledocostomie met transduodenale sfincterotomie
673005;Indirect laryngoscopy;Indirecte laryngoscopy;indirect laryngoscopy;indirecte laryngoscopie
680007;Radiation physics consultation;Stralingsfysica overleg;Stralingsfysica overleg;straling physics consult
897004;Radical maxillary antrotomy;Radicale maxillary antrotomy;Radical bovenkaak antrotomy;radicale maxillaire antrotomie
1029002;Fetoscopy;Fetoscopy;fetoscopy;foetoscopie
1163003;Ureteroenterostomy;Ureteroenterostomy;Ureteroenterostomy;uretero - enterostomie
1337002;Colosigmoidostomy;Colosigmoidostomy;Colosigmoidostomy;colosigmo ï dostomie
1533002;Ureteroplication;Ureteroplication;Ureteroplication;ureteroplication
1770009;Mitral valvotomy;Mitralisklep valvotomy;mitralisklep valvotomy;mitralisvalvotomie
2178007;Ureterocentesis;Ureterocentesis;Ureterocentesis;ureterocentesis
2225004;Sensititer system test;Sensititer systeemtest;Sensititer systeemtest;sensititer zenuwstelsel -
2234009;Proctosigmoidopexy;Proctosigmoidopexy;Proctosigmoidopexy;procto - sigmoiedopexie
2267008;Changing tracheostomy tube;Veranderende tracheostomiebuis;Veranderende tracheotomiecanule;changing tracheostomieslang
2347001;Diagnostic model construction;Diagnostische modelbouw;Diagnostic modelbouw;diagnostisch model constructie
2745006;Omentopexy;Omentopexy;Omentopexy;omentopexie
2752008;Incudopexy;Incudopexy;Incudopexy;incudopexie
2813008;Nephroureterocystectomy;Nephroureterocystectomy;Nephroureterocystectomy;nefroureterocystectomie
2933008;Pneumogynecography;Pneumogynecography;Pneumogynecography;pneumogynecography
3026000;Tibiotalar arthrodesis;Tibio - talaire artrodese;tibio - talaire artrodese;tibiotalaire arthrodese
3047001;Kowa fundus photography;Kowa fundusfotografie;Kowa fundusfotografie;kowa oogfundus fotografie
3137001;Reimplantation;Herimplantatie;re ï mplantatie;replantatie
3190002;Epilation by forceps;Epileren door een tang;epileertang;epilatie met tang
3256004;Cervical lymphangiogram;Cervicale lymphangiogram;Cervical lymphangiogram;cervicale lymfangiografie
3287002;Cholecystogastrostomy;Cholecystogastrostomy;cholecystogastrostomie;cholecysto - gastrostomie
3324009;Laser beam photocoagulation;Laserstraal photocoagulation;Laserstraal photocoagulation;laserthermocoagulatie
3413006;Blood cell morphology;Bloedcel morfologie;bloedmorfologie;bloedcel morfologie
3457005;Patient referral;Pati ë nt doorverwijzing;pati ë nt referral;pati verwijzingen nao
3942005;Cystopexy;Cystopexy;Cystopexy;cystopexie
4613005;Radioimmunoassay;Radioimmunotest;radioimmunoassay;ria
4727005;Lipoprotein electrophoresis;Lipoprote ï ne elektroforese;lipoprote ï ne elektroforese;lipoprote ï ne - elektroforese
4758006;Incudostapediopexy;Incudostapediopexy;Incudostapediopexy;incudostapediopexie
4903000;Serum protein electrophoresis;Serumprote ï nen elektroforese;Serumprote ï nen elektroforese;serum eiwitelektroforese
5055006;Uniscept system test;Uniscept systeemtest;Uniscept systeemtest;uniscept zenuwstelsel -
5057003;Radical orbitomaxillectomy;Radicale orbitomaxillectomy;Radical orbitomaxillectomy;radicale orbitomaxillectomie
5233006;Lateral fasciotomy;Laterale fasciotomie;Lateral fasciotomie;laterale fasciotomie
5771004;Blepharotomy;Blepharotomy;ooglidincisie;blefarotomie
5845006;Emulsification procedure;emulgatie procedure;emulgatie procedure;emulsificatie nao
6035001;Chart abstracting;grafiek abstraherende;grafiek abstraherende;pain abstracting
6069000;Panniculotomy;Panniculotomy;Panniculotomy;panniculotomy
6143009;Diabetic patient education;Diabetespati ë nt onderwijs;Diabetespati ë nt onderwijs;diabetische pati ë nten
6166005;Nephropyeloureterostomy;Nephropyeloureterostomy;Nephropyeloureterostomy;nephropyeloureterostomy
6307005;Keratophakia;Keratophakia;Keratophakia;keratofakie
6470007;Laparoamnioscopy;Laparoamnioscopy;Laparoamnioscopy;amnioscopie
6502003;Complete lower denture;Compleet onderprothese;Compleet onderprothese;volledig onderste kunstgebit
6521006;Polytomography;Polytomography;Polytomography;tomografie van meerdere vlakken
6776002;Auricular aneurysmectomy;auricular aneurysmectomy;auricular aneurysmectomy;auriculair aneurysmectomie
6782004;Methylene blue plating test;Methyleenblauw uitplatingstoets;Methyleenblauw uitplatingstoets;methyleenblauw plaatosteosynthese test
7103008;Trypsin, duodenal fluid;Trypsine , duodenumvocht;Trypsine , duodenumvocht;trypsine , duodenum - vloeistof
7108004;Osteoclasis;Osteoclasis;Osteoclasis;osteoclasie
7190001;Mandibular condylectomy;mandibular condylectomy;mandibular condylectomy;laterale condyl
7613004;Dacryoadenotomy;Dacryoadenotomy;Dacryoadenotomy;dacryoadenotomy
7656009;Isotope study for renal plasma flow;Isotopenstudie voor nierplasmastroom;Isotopenstudie voor nierplasmastroom;onderzoek voor renale plasmastroom
8031000;Vaginogram;Vaginogram;Vaginogram;vaginogram
8093000;Transureteroureterostomy;Transureteroureterostomy;Transureteroureterostomy;transuretero - ureterostomie
8223002;Labyrinthectomy, osseous;Labyrinthectomy , ossale;Labyrinthectomy , ossale;osseuse labyrinthectomie
8294001;Rhogam crossmatch;Rhogam crossmatch;Rhogam crossmatch;rhogam crossmatch
8335001;Uvulopalatopharyngoplasty;Uvulopalatopharyngoplasty;Uvulopalatopharyngoplasty;uvulopalatofaryngoplastiek
8401003;Electrodesiccation;electrodesiccation;electrodesiccation;elektrodesiccatie
8706007;Arginine tolerance test;Arginine tolerantietest;Arginine tolerantietest;arginine test
8803008;Iridosclerotomy;Iridosclerotomy;Iridosclerotomy;iridosclerotomie
8902002;Simple pyeloplasty;Simple pyeloplasty;Simple pyeloplasty;eenvoudige pyeloplastiek
