SNOMED conceptID;SNOMED term;Google translate vertaalde term;Matecat vertaling;thot vertaalde term medisch woordenboek + SNOMED be
342002;Amobarbital interview;Amobarbital interview;amobarbital interview;amobarbital interview
389000;Tobramycin measurement;Tobramycin meting;Tobramycin meting;tobramycin -
1337002;Colosigmoidostomy;Colosigmoidostomy;Colosigmoidostomy;colosigmo ï dostomie
1533002;Ureteroplication;Ureteroplication;Ureteroplication;ureteroplication
1917008;Patient discharge, deceased, medicolegal case;Pati ë nt kwijting , overleden , medicolegal geval;ontlading pati ë nt , overleden , medicolegal case;pati ë nten deceased , medicolegal volledig
2153008;Cardiac catheterization education;Hartkatheterisatie onderwijs;Hartkatheterisatie onderwijs;kkatheterisatie ntenvoorlichting
2178007;Ureterocentesis;Ureterocentesis;Ureterocentesis;ureterocentesis
2267008;Changing tracheostomy tube;Veranderende tracheostomiebuis;Veranderende tracheotomiecanule;changing tracheostomieslang
2494005;Nursing conference;Nursing conferentie;Nursing - conferentie;nursing conference
2933008;Pneumogynecography;Pneumogynecography;Pneumogynecography;pneumogynecography
3133002;Patient discharge, deceased, autopsy;Pati ë nt kwijting , overleden , autopsie;ontlading pati ë nt , overleden , autopsie;pati ë nten deceased , autopsie
3352000;Parathyroid hormone measurement;Bijschildklierhormoon meting;Bijschildklierhormoon meting;parathyro ï dhormoon
3794000;Pregnanetriol measurement;Pregnanetriol meting;Pregnanetriol meting;pregnanetriol -
5586008;Aminolevulinic acid dehydratase measurement;Aminolevulinezuur dehydratase meting;Aminolevulinezuur dehydratase meting;aminolevulinezuur dehydratase -
6063004;Kanamycin measurement;kanamycine meting;kanamycine meting;kanamycin -
6069000;Panniculotomy;Panniculotomy;Panniculotomy;panniculotomy
6143009;Diabetic patient education;Diabetespati ë nt onderwijs;Diabetespati ë nt onderwijs;diabetische pati ë nten
6166005;Nephropyeloureterostomy;Nephropyeloureterostomy;Nephropyeloureterostomy;nephropyeloureterostomy
6589005;Antibody titration, high protein;Titratie van antilichamen , eiwitrijke;Titratie van antilichamen , eiwitrijke;antilichaamdefici titration - eiwit
7440005;Labial veneer, laminate, chairside;Labiale fineer , laminaat , chairside;Labiale fineer , laminaat , chairside;labial fineer , laminate , chairside
7613004;Dacryoadenotomy;Dacryoadenotomy;Dacryoadenotomy;dacryoadenotomy
7932007;Clonazepam measurement;clonazepam meting;clonazepam meting;clonazepam -
7962001;Ethosuximide measurement;ethosuximide meting;ethosuximide meting;ethosuximide -
8031000;Vaginogram;Vaginogram;Vaginogram;vaginogram
8243008;Measurement of interstitial fluid pressure;Meting van interstiti ë le flu ï dumdruk;Meting van interstiti ë le flu ï dumdruk;#NAAM?
8294001;Rhogam crossmatch;Rhogam crossmatch;Rhogam crossmatch;rhogam crossmatch
8574009;Platelet estimate;bloedplaatjes schatting;bloedplaatjes schatting;plaatjes estimate
9093009;Thyrochondrotomy;Thyrochondrotomy;Thyrochondrotomy;thyrochondrotomy
9580008;Chemothalamectomy;Chemothalamectomy;chemothalamectomie;chemothalamectomy
10046006;Cystoureterolithotomy;Cystoureterolithotomy;Cystoureterolithotomy;cystoureterolithotomy
10268009;Immunochemiluminescent assay;Immunochemiluminescent assay;Immunochemiluminescent assay;immunochemiluminescent -
10274009;Partial overdenture;gedeeltelijke overkappingsprothese;gedeeltelijke overkappingsprothese;parti overkappingsprothese
10611004;Teleradiotherapy protons;Teleradiotherapy protonen;Teleradiotherapy protonen;teleradiotherapy proton
10670006;Oxazepam measurement;Oxazepam meting;Oxazepam meting;oxazepam -
10688003;Anodic stripping voltammetry measurement;Anodische stripping voltammetrie meting;Anodische stripping voltammetrie meting;anodic stripping voltammetry -
10939000;Iron uptake test;Ijzeropname - test;Ijzeropname - test;ijzerdefici opname
11075005;Subconvulsive electroshock therapy;Subconvulsive elektroshock therapie;Subconvulsive elektroshock therapie;subconvulsive elektroshocktherapie
11127003;Esophagogastrostomy, antesternal or antethoracic;Esophagogastrostomy , antesternal of intrathoracale;Esophagogastrostomy , antesternal of antethoracic;oesophagogastrostomie , antesternal en antethoracic
11610007;Arylsulfatase A measurement, fibroblasts;Arylsulfatase Een meting , fibroblasten;Arylsulfatase Een meting , fibroblasten;leuko - - fibroblasts
11913007;Mephenytoin measurement;mefenyto ï ne meting;mefenyto ï ne meting;mefenyto ï ne ne
12182009;Leadbetter-Politano operation, ureteroneocystostomy;Leadbetter - Politano operatie , ureteroneocystostomy;Leadbetter - Politano operatie , ureteroneocystostomy;politano - leadbetter ureterre ï mplantatie neoblaas
12387006;Microbial subculture;microbi ë le subcultuur;microbi ë le subcultuur;microbial nacultuur
12616003;Patient discharge, escaped from custody;ontlading pati ë nt , ontsnapt uit de gevangenis;ontlading pati ë nt , ontsnapt uit de gevangenis;pati ë nten escaped van custody
13046005;Cholylglycine measurement;Cholylglycine meting;Cholylglycine meting;cholylglycine -
13573001;Patellapexy;Patellapexy;Patellapexy;patellapexy
13619001;Thyroidectomy;thyroidectomy;thyroidectomy;thyro ï dectomie
13661007;Lidocaine measurement;lidoca ï ne meting;lidoca ï ne meting;lidocaine -
13749006;Bathing patient in tub;Baden pati ë nt in bad;Baden pati ë nt in bad;baden van pati ë nt tub
14025009;Psychologic test, Bender visual-motor gestalt test;Psychische test , Bender visueel - motorische gestalt - test;Psychische test , Bender visueel - motorische gestalt - test;bender - gestalttest
14227006;Sickle cell identification;Sickle cel identificatie;Sickle cel identificatie;sikkelcelanemie identification
14275001;Boronate affinity chromatography measurement;Boronaat affiniteitschromatografie meting;Boronaat affiniteitschromatografie meting;boronate affiniteitschromatografie
14369007;Deworming;ontworming;ontworming;deworming
14476003;Epididymorrhaphy;Epididymorrhaphy;Epididymorrhaphy;epididymorrhaphy
15403001;N-acetylglucosaminidase A & B measurement;N - acetylglucosaminidase A & B meting;N - acetylglucosaminidase A & B meting;#NAAM?
16151007;Microbial identification and susceptibility test;Microbi ë le identificatie en gevoeligheid testen;Microbi ë le identificatie en gevoeligheid testen;microbial identification en gevoeligheidstest
16400008;Heterophile antibody measurement;Heterofiele antilichaam meting;Heterofiele antilichaam meting;heterophile antistof
16572002;Butalbital measurement;Butalbital meting;Butalbital meting;butalbital -
16589005;Femoral endarterectomy;femorale endarterectomy;femorale endarterectomy;femorale endarteri ë ctomie
16908007;Linoleate measurement;linoleaat meting;linoleaat meting;linoleate -
17508008;Paraaminohippurate measurement;Para aminohippuraat meting;Paraaminohippurate meting;paraaminohippurate -
17515000;Radioimmunoprecipitation assay;radioimmunoprecipitatie assay;radioimmunoprecipitatie assay;radioimmunoprecipitatie -
17539005;Remobilization;remobilisatie;remobilisatie;remobilization
17662004;Filleting;fileren;Varkenshaas;filleting
18102001;Mammary ductogram;borstklieren ductogram;borstklieren ductogram;lactische ductogram
18223002;Mastoidotomy;Mastoidotomy;Mastoidotomy;masto ï dotomie
19269007;Transfixion;Transfixion;Transfixion;transfixion
19294008;Endomysial antibody measurement;Endomysiale antilichaam meting;Endomysiale antilichaam meting;endomysial antistof
19401006;Oxytocinase measurement;oxytocinase meting;oxytocinase meting;oxytocinase -
20074002;Galeaplasty;Galeaplasty;Galeaplasty;galeaplasty
20738002;Endarterectomy of coronary artery;Endarterectomie van de kransslagader;Endarterectomie van de kransslagader;coronaire endarteri ë ctomie
20805001;Rhinoseptoplasty;Rhinoseptoplasty;Rhinoseptoplasty;rhinoseptoplasty
21062006;Phenylpropanolamine measurement;fenylpropanolamine meting;fenylpropanolamine meting;phenylpropanolamine -
21424002;Phosphatidylinositol measurement;fosfatidylinositol meting;fosfatidylinositol meting;phosphatidylinositol -
21593001;Ophthalmodynamography;Ophthalmodynamography;oftalmodynamografie;ophthalmodynamography
21603002;Plasma radioiron turnover rate;Plasma radioiron omloopsnelheid;Plasma radioiron omloopsnelheid;plasmaprote radioiron turnover
22432007;Internal hemorrhoidectomy;interne hemorrhoidectomy;interne hemorrhoidectomy;interne hemorro ï dectomie
22644003;Low density lipoprotein measurement;Low density lipoprotein meting;Low density lipoprotein meting;low density lipoprote ï ne
22761009;Perineogram;Perineogram;Perineogram;perineogram
23463002;Gentamicin measurement;gentamicine meting;gentamicine meting;gentamicin -
23567003;Biotinidase measurement;biotinidase meting;biotinidase meting;biotinidase -
23745001;Charting patient information;In kaart brengen van de pati ë nt informatie;In kaart brengen van de pati ë nt informatie;charting pati information
24420007;Sigmoidoscopy;sigmo ï doscopie;Sigmo ï doscopie;sigmo ï doscopie
24496007;Hemorrhoidectomy;hemorrhoidectomy;hemorrhoidectomy;hemorro ï dectomie
24846002;Imbrication;overlapping;overlapping;imbrication
25104002;Haloperidol measurement;haloperidol meting;haloperidol meting;haloperidol -
25325009;Dental alveoplasty;Dental alveoplasty;Dental alveoplasty;caries alveoplasty
25411007;Hysterogram;Hysterogram;Hysterogram;hysterogram
25704007;Antigen capture EIA test;Antigen capture EIA - test;Antigen capture EIA - test;antigeen capture exercise -
25871006;Cricothyroidectomy;Cricothyroidectomy;Cricothyroidectomy;cricothyroidectomy
25877005;Mealtime assistance;Etenstijd bijstand;Etenstijd bijstand;mealtime behulp
25884002;Immunoelectrophoresis;immuno;immuno;immuno -
26097007;Remobilization of stapes;Remobilisatie van stijgbeugel;Remobilisatie van stijgbeugel;remobilization stapedis
26464002;Orthotic bracing;Orthotic schoren;Orthotic schoren;orthotic bracing
27300001;Molegraphy;Molegraphy;Molegraphy;molegraphy
27662000;Calibration of urethra;Kalibratie van de urethra;Kalibratie van de urethra;calibration urethra
27965000;Methamphetamine measurement;methamphetamine meting;methamphetamine meting;methamphetamine -
28436000;Prospective audit;prospectieve audit;prospectieve audit;prospective audit
28686001;Nephrotomogram;Nephrotomogram;Nephrotomogram;nephrotomogram
29141006;Trazodone measurement;Trazodone meting;Trazodone meting;trazodone -
29142004;Cocaine measurement;coca ï ne meting;coca ï ne meting;coca ï ne
29433003;Radiography of female genital organs;Radiografie van de vrouwelijke geslachtsorganen;Radiografie van de vrouwelijke geslachtsorganen;vrouwelijke genitaliar ö ntgenfoto
29858004;Excision of artery;Excisie van slagader;Excisie van slagader;arteri ë ctomie
30460007;Microbial identification, identicult-Neissera method;Microbi ë le identificatie , identicult - Neissera methode;Microbi ë le identificatie , identicult - Neissera methode;microbial identification , identicult - neissera methode
30870002;General calisthenic exercise regimen;Algemeen calisthenic oefening regime;Algemeen calisthenic oefening regime;gegeneraliseerde calisthenic exercise regimen
30876008;Pain control techniques education;controle pijn technieken onderwijs;controle pijn technieken onderwijs;pijnbestrijding techniques ntenvoorlichting
30956003;Subtotal thyroidectomy;Subtotaal thyroidectomy;Subtotaal thyroidectomy;thyro ï dectomie gedeeltelijk
31140003;Nortryptyline measurement;Nortryptyline meting;Nortryptyline meting;nortryptyline -
31501000;Ethmoid sinusectomy;ethmoid sinusectomy;ethmoid sinusectomy;etmo ï dectomie
31630000;Intracardiac phonocardiogram;intracardiale fonocardiogram;intracardiale fonocardiogram;intracardiale phonocardiogram
31932005;Tympanomastoidectomy;Tympanomastoidectomy;Tympanomastoidectomy;tympanomastoidectomy
32051004;Institutional environmental intervention;Institutionele milieu - interventie;Institutionele milieu - interventie;institutional omgevingstherapie
32585009;Medical galvanism;medische galvanisme;medische galvanisme;biomedische galvanism
32813003;Cytokine assay;cytokine assay;cytokine assay;cytokine -
33356009;Betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy
33470005;Flucytosine measurement;flucytosine meting;flucytosine meting;flucytosine -
33748008;Phenytoin measurement;fenyto ï ne meting;fenyto ï ne meting;phenytoin -
33966007;Cotinine measurement;cotinine meting;cotinine meting;cotinine -
34535001;Microbial identification, HNID panel;Microbi ë le identificatie , HNID panel;Microbi ë le identificatie , HNID panel;microbial identification , hnid panel
34596002;Patient discharge, elopement;ontlading pati ë nt , elopement;ontlading pati ë nt , elopement;pati ë nten elopement
34608000;Alanine aminotransferase measurement;Alanineaminotransferase meting;Alanineaminotransferase meting;alanine - aminotransferase
34616009;Epididymography;Epididymography;Epididymography;epididymography
34640001;Sialolithotomy;Sialolithotomy;sialolithotomie;sialolithotomy
35084009;Sulfisoxazole measurement;sulfisoxazol meting;sulfisoxazol meting;sulfisoxazole -
35226000;Phonocardiogram;fonocardiogram;fonocardiogram;phonocardiogram
35497000;Restraint maintenance;Restraint onderhoud;Restraint onderhoud;restraint onderhouden
35880001;Antibody elution, ether;Antilichaam elutie ether;Antilichaam elutie ether;antilichaamdefici elution , ether
36092006;Nephrocolopexy;Nephrocolopexy;nefrocolopexie;nephrocolopexy
36395004;Grattage of conjunctiva;Grattage van bindvlies;Grattage van bindvlies;grattage conjunctiva
36788006;Cecoplication;Cecoplication;Cecoplication;cecoplication
36910002;Craniectomy;craniectomy;craniectomie;crani ë ctomie
37199006;Thoracic endarterectomy;Thoracic endarterectomy;Thoracic endarterectomy;thoracale endarteri ë ctomie
37999005;Caffeine measurement;meting cafe ï ne;meting cafe ï ne;cafe ï ne
38678006;Client-centered psychotherapy;Cli ë ntgerichte psychotherapie;Cli ë ntgerichte psychotherapie;cli ë ntgerichte therapie
38748006;McCall culdoplasty;McCall culdoplasty;McCall culdoplasty;mccall culdoplastiek
38863001;Gas endarterectomy;gas endarterectomy;gas endarterectomy;gasendarteri ë ctomie
38923003;Sphingomyelinase measurement;sphingomyelinase meting;sphingomyelinase meting;sphingomyelinase -
39301001;Partial dermabrasion;gedeeltelijke dermabrasie;gedeeltelijke dermabrasie;parti huidabrasie
39562007;Vermilionectomy;Vermilionectomy;Vermilionectomy;vermilionectomy
39597009;Dibucaine number;dibuca ï ne nummer;dibuca ï ne nummer;dibuca ï ne aantal
40008005;Plethysmometry;Plethysmometry;Plethysmometry;plethysmometry
40025007;Odontotomy;Odontotomy;Odontotomy;odontotomy
40128007;Optochin susceptibility test;Optochin gevoeligheid testen;Optochin gevoeligheid testen;optochin gevoeligheidstest
40402000;Glucohemoglobin measurement;Glucohemoglobin meting;Glucohemoglobin meting;glucohemoglobin -
40454005;Resistive exercise;resistieve oefening;resistieve oefening;resistive lichaamsbeweging
40623004;Methsuximide measurement;methsuximide meting;methsuximide meting;methsuximide -
41489001;Oligoclonal protein measurement;Oligoclonale eiwit meting;Oligoclonale eiwit meting;oligoclonal eiwit
41902000;Major crossmatch;Major crossmatch;Major crossmatch;majeure crossmatch
42075002;Diagnostic radiography of skull;Diagnostische radiografie van de schedel;Diagnostische radiografie van de schedel;schedelr ö ntgenfoto
42211009;Radioimmunofocus assay;Radioimmunofocus assay;Radioimmunofocus assay;radioimmunofocus -
42268006;Ileosigmoidostomy;Ileosigmoidostomy;iliosigmoideostomie;ileosigmo ï dostomie
42313005;Plasma recalcification time;Plasma recalcificatietijd;Plasma recalcificatietijd;plasmaprote recalcificatietijd
42691000;Soak;weken;aanhouden van oventemperatuur;soak
43115001;Monoethylglycinexylidide measurement;mono - ethylglycinexylidide meting;mono - ethylglycinexylidide meting;monoethylglycinexylidide -
43802008;Thermocautery;Thermocautery;Thermocautery;thermocautery
43806006;Chlorpromazine measurement;Chlorpromazine meting;Chlorpromazine meting;chlorpromazine -
43837006;Radioiodinated triolein study;Radioactief jodium gemerkt triole ï ne studie;Radioactief jodium gemerkt triole ï ne studie;radioiodinated triole ï ne - isotopenscan
43979001;Erythropoietin measurement;erytropo ë tine meting;erytropo ë tine meting;erythropoietin -
44829005;Meprobamate measurement;meprobamaat meting;meprobamaat meting;meprobamate -
45046001;Exploration of mastoid;Verkenning van mastoid;Verkenning van mastoid;masto ï dexploratie
45315006;Osteoarticular thermography;osteoarticulaire thermografie;osteoarticulaire thermografie;osteoarticular thermografie
45565001;Logotherapy;Logotherapie;Logotherapie;logotherapy
46211007;Debridement of bone;Debridement van het bot;Debridement van het bot;botd é bridement
46797008;Bathing patient in isolette;Baden pati ë nt in isolette;Baden pati ë nt in isolette;baden van pati ë nt isolette
47074005;Ventriculocholecystostomy;Ventriculocholecystostomy;Ventriculocholecystostomy;ventriculocholecystostomy
47101004;Cardiotachometry;Cardiotachometry;Cardiotachometry;cardiotachometry
47112004;Acetozolamide measurement;acetazolamide meting;acetazolamide meting;acetozolamide -
