SNOMED conceptID;SNOMED term;Google translate vertaalde term;Matecat vertaling;thot vertaalde term medisch woordenboek + SNOMED be
342002;Amobarbital interview;Amobarbital interview;amobarbital interview;amobarbital interview
1533002;Ureteroplication;Ureteroplication;Ureteroplication;ureteroplication
2178007;Ureterocentesis;Ureterocentesis;Ureterocentesis;ureterocentesis
2535006;Pulpectomy;Pulpectomy;pulpectomie;pulpectomie
2933008;Pneumogynecography;Pneumogynecography;Pneumogynecography;pneumogynecography
4344007;Cryopexy;Cryopexy;cryopexie;cryopexie
4570007;Chemopallidectomy;Chemopallidectomy;chemopallidectomie;chemopallidectomie
4891005;Proctostomy;Proctostomy;proctostomie;proctostomie
4934001;Salpingography;Salpingography;salpingografie;salpingografie
6069000;Panniculotomy;Panniculotomy;Panniculotomy;panniculotomy
6166005;Nephropyeloureterostomy;Nephropyeloureterostomy;Nephropyeloureterostomy;nephropyeloureterostomy
6190006;Colopexy;Colopexy;colopexie;colopexie
7613004;Dacryoadenotomy;Dacryoadenotomy;Dacryoadenotomy;dacryoadenotomy
8031000;Vaginogram;Vaginogram;Vaginogram;vaginogram
8294001;Rhogam crossmatch;Rhogam crossmatch;Rhogam crossmatch;rhogam crossmatch
9093009;Thyrochondrotomy;Thyrochondrotomy;Thyrochondrotomy;thyrochondrotomy
9134004;Ballistocardiography;Ballistocardiography;ballistocardiografie;ballistocardiografie
9215005;Colotomy;Colotomy;colotomie;colotomie
10046006;Cystoureterolithotomy;Cystoureterolithotomy;Cystoureterolithotomy;cystoureterolithotomy
13490005;Conchotomy;Conchotomy;conchotomie;conchotomie
13573001;Patellapexy;Patellapexy;Patellapexy;patellapexy
14476003;Epididymorrhaphy;Epididymorrhaphy;Epididymorrhaphy;epididymorrhaphy
15067008;Nephropexy;Nephropexy;nefropexie;nefropexie
17254000;Hepaticolithotomy;Hepaticolithotomy;hepaticolithotomie;hepaticolithotomie
17606004;Sclerectomy;Sclerectomy;sclerectomie;sclerectomie
19269007;Transfixion;Transfixion;Transfixion;transfixion
20074002;Galeaplasty;Galeaplasty;Galeaplasty;galeaplasty
20350005;Amniography;Amniography;amniografie;amniografie
20805001;Rhinoseptoplasty;Rhinoseptoplasty;Rhinoseptoplasty;rhinoseptoplasty
22760005;Xeroradiography;Xeroradiography;xeroradiografie;xeroradiografie
22761009;Perineogram;Perineogram;Perineogram;perineogram
22778000;Venipuncture;venipuncture;Venapunctie;venapunctie
23968004;Colectomy;colectomy;Colectomie;colectomie
24420007;Sigmoidoscopy;sigmo ï doscopie;Sigmo ï doscopie;sigmo ï doscopie
25353009;Craniotomy;craniotomy;craniotomie;craniotomie
25411007;Hysterogram;Hysterogram;Hysterogram;hysterogram
25871006;Cricothyroidectomy;Cricothyroidectomy;Cricothyroidectomy;cricothyroidectomy
27056009;Colorectostomy;Colorectostomy;colorectostomie;colorectostomie
27300001;Molegraphy;Molegraphy;Molegraphy;molegraphy
28686001;Nephrotomogram;Nephrotomogram;Nephrotomogram;nephrotomogram
29453004;Jejunotomy;Jejunotomy;jejunotomie;jejunotomie
30582003;Duodenostomy;Duodenostomy;duodenostomie;duodenostomie
31932005;Tympanomastoidectomy;Tympanomastoidectomy;Tympanomastoidectomy;tympanomastoidectomy
33099007;Incudectomy;Incudectomy;incudectomie;incudectomie
33149006;Pancreatectomy;pancreatectomy;pancreatectomie;pancreatectomie
33356009;Betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy
34536000;Amniocentesis;amniocentesis;Vruchtwaterpunctie;vruchtwaterpunctie
34616009;Epididymography;Epididymography;Epididymography;epididymography
35241000;Cholecystostomy;Cholecystostomy;cholecystostomie;cholecystostomie
36788006;Cecoplication;Cecoplication;Cecoplication;cecoplication
36812006;Iridectomy;iridectomy;iridectomie;iridectomie
36946006;Epididymectomy;Epididymectomy;epididymectomie;epididymectomie
39309004;Hemilaryngectomy;Hemilaryngectomy;hemilaryngectomie;hemilaryngectomie
39562007;Vermilionectomy;Vermilionectomy;Vermilionectomy;vermilionectomy
40008005;Plethysmometry;Plethysmometry;Plethysmometry;plethysmometry
40025007;Odontotomy;Odontotomy;Odontotomy;odontotomy
43802008;Thermocautery;Thermocautery;Thermocautery;thermocautery
45608007;Hepaticocholangiojejunostomy;Hepaticocholangiojejunostomy;hepaticocholangiojejunostomie;hepaticocholangiojejunostomie
47074005;Ventriculocholecystostomy;Ventriculocholecystostomy;Ventriculocholecystostomy;ventriculocholecystostomy
47101004;Cardiotachometry;Cardiotachometry;Cardiotachometry;cardiotachometry
47610008;Costotomy;Costotomy;costotomie;costotomie
48138001;Splenogram;Splenogram;Splenogram;splenogram
48706002;Exophthalmometry;Exophthalmometry;Exophthalmometry;exophthalmometry
49780003;Heminephrectomy;Heminephrectomy;heminefrectomie;heminefrectomie
49834007;Coccygotomy;Coccygotomy;coccygotomie;coccygotomie
52151009;Glossectomy;Glossectomy;glossectomie;glossectomie
52566004;Clivogram;cladogram;Clivogram;clivogram
53133001;Cecocoloplicopexy;Cecocoloplicopexy;Cecocoloplicopexy;cecocoloplicopexy
53442002;Gastrectomy;gastrectomy;Gastrectomie;gastrectomie
55046007;Reamputation;Reamputation;Reamputation;reamputation
55322005;Vital pulpotomy;Vital pulpotomy;Vital pulpotomy;vital pulpotomy
