conceptId;Beschrijving;conceptId;Beschrijving thot
104001;excisie van letsel ter hoogte van de patella;104001;excisie van van
133000;percutane implantatie van neurostimulator electroden in neuromusculaire component;133000;percutane implantatie zenuwstimulator electrodes naar neuromusculaire component
142007;excisie van diepe intramusculaire tumor van de schouderstreek;142007;excisie van tumor van schouder steek , diepe , intramusculaire
146005;herstel van nonunion van metatarsaal met botgreffe;146005;herstel van niet aangroeien van middenvoetsbeen met bottranplantaat
153001;cystourethroscopie met resectie urethrocoele;153001;cysto - urethroscopie met resectie ureterok è le
174000;procedure van harrison - richardson ter hoogte van vagina;174000;harrison - richardson vaginale operatie
176003;anastomose van het rectum;176003;anastomose , rectale
189009;excisie van letsel van arterie;189009;excisie van arterie
262007;percutane aspiratie van de renale pelvis;262007;percutane aspiratie van nier
267001;meerdere anale fistulectomies;267001;anale fistelexcisie multipel
294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom;294002;biopsie gewricht van
306005;echografie nier;306005;echo nier
334003;rx orthopantomogram;334003;panorex onderzoek van kaak
374009;herstel van pectus excavatum met costosteroplastie;374009;costosternoplasty voor pectus herstel
388008;blefaroraphie;388008;blefarorafie
401004;distale subtotale pancreatectomie;401004;distale pancreatectomie
445004;herstel van malunion van de tibia;445004;herstel van verkeerd tibia
463004;gesloten reductie van een heupluxatie met een spalk;463004;gesloten repositie van heup luxatie met spalken
474008;intrathoracale slokdarmanastomose met dundarm;474008;esophagoenteric anastomose , retrosternaal
494004;excisie van letsel van tonsil;494004;excisie van tonsil
497006;vervangen van cochleaire prothese , meervoudige kanalen;497006;implantatie , prothese , multipele channels
531007;open commissurotomie van pulmonaalklep met inflowocclusie;531007;open pulmonale commissurotomy met inflow occlusie
533005;herstel van vesico - colische fistel;533005;herstel van fistel
543008;choledocostomie met transduodenale sfincterotomie;543008;choledochostomie met transhepatische sfincterherstel
549007;incisie van een intracraniale vena;549007;van intracraniaal veneus
550007;excisie van letsel van adeno ï ds;550007;excisie van adeno ï d
559008;excisie van variceuze vene;559008;excisie spataderen
603006;synchondrotomie;603006;verwijderen elke synchondrosis
618007;sinusectomie van frontale sinus;618007;frontale sinusectomy
625000;amputatie van een surnummeraire vinger;625000;verwijdering van overtollige vingers of tenen
628003;steinman test;628003;steinman -
