SNOMED conceptID;Thot vertaling
104001;excisie van van
115006;uitneembare appliance therapie
119000;thoracoscopic parti ë le longlobectomie
121005;retrobulbair zenuwinjectie therapeutische agentia
128004;histiocytose microscope onderzoek van
133000;percutane implantatie zenuwstimulator electrodes naar neuromusculaire component
135007;artrotomie van pols , met exploration en biopsie
142007;excisie van tumor van schouder steek , diepe , intramusculaire
146005;herstel van niet aangroeien van middenvoetsbeen met bottranplantaat
153001;cysto - urethroscopie met resectie ureterok è le
160007;verwijdering , pees en tendovaginitis
166001;gedragstherapie
170009;speciaal potency discus identification , vancomycine test
174000;harrison - richardson vaginale operatie
176003;anastomose , rectale
189009;excisie van arterie
197002;draadvormige - gisten conversiestoornissen test
230009;miller chirurgie , urethrovesical suspension
243009;artroplastiek van cerebrale ventriculaire eustachius
245002;verwijderen ganglia
262007;percutane aspiratie van nier
267001;anale fistelexcisie multipel
285008;drainage via de incisie van vulva
294002;biopsie gewricht van
295001;nonexcisional van corpus ciliare
306005;echo nier
316002;parti dacryocystectomie
334003;panorex onderzoek van kaak
342002;amobarbital interview
346004;periodontale exfoliatie en wortel planing , per kwadrant
348003;scan nao functietest
351005;urine undiversion van ureter anastomose
352003;reagent bloed - preparation - immune sensitized pool
353008;vierde - irrigatietherapie monitoring
374009;costosternoplasty voor pectus herstel
388008;blefarorafie
389000;tobramycin -
401004;distale pancreatectomie
406009;diathermie van van
417005;hernieuwde opname in een ziekenhuis
435001;pulmonale inhalatie functieonderzoek
445004;herstel van verkeerd tibia
456004;totale abdominale colectomie met ileostomie
459006;gesloten condylotomy van kaak
463004;gesloten repositie van heup luxatie met spalken
468008;glutathiontest
474008;esophagoenteric anastomose , retrosternaal
489004;ferritine
493005;urobilinogeen 48 - uurs - ontlasting
494004;excisie van tonsil
497006;implantatie , prothese , multipele channels
503003;cornea gluing
531007;open pulmonale commissurotomy met inflow occlusie
533005;herstel van fistel
535003;herstel ureterovesicovaginal fistel
540006;auto - enkelvoudige en dubbele stranded dna -
543008;choledochostomie met transhepatische sfincterherstel
545001;chirurgie van onderste extremiteit
549007;van intracraniaal veneus
550007;excisie van adeno ï d
559008;excisie spataderen
570001;immunisatie voor encefalitis
574005;benzodiazepineachtige tranquilizers -
603006;verwijderen elke synchondrosis
617002;bottranplantaat mandibulaire
618007;frontale sinusectomy
625000;verwijdering van overtollige vingers of tenen
628003;steinman -
629006;peritoneale verklevingen verwijderen van urethra
633004;chart review door arts
637003;adhesiolyse neus
642006;cerebrale thermogram
645008;vasculaire diagnostische verrichting vitreum
647000;excisie van cervicale electroconization
657004;chirurgie bursa
665001;gedeeltelijke verwijdering van meniscus van gewricht
670008;electrosurgical ontharing van wenkbrauwen
671007;van testis
673005;indirecte laryngoscopie
674004;abduction - van
676002;peritoneale inclusief katheterisatie
680007;bestraling physics consult
687005;albumine - globuline ratio
695009;destructieve operatie , aandoening van huid van romp
697001;hepatitis - a - antistof
710006;endarterectomie met transplantaat mesentericae
712003;gesloten borst zuigdrainage
721002;medische verrichting periuretraal weefsel
722009;dunnenaaldaspiratie van thymus
726007;pathologie consult , comprehensive - records en monsters met report
730005;incisie van
741007;prostaatoperatie
746002;chiropraxis bijstellen van subluxatie
753006;manipulatie van enkel en voet
754000;totale urethrectomie
759005;cerebrale encefalogram
762008;computertomogram van wervelkolom met contrastmicroscopie
764009;ankylose van gewricht van grote teen
767002;witte bloedceltelling
789003;craniaal decompressie , subtemporal , supratentorieel
791006;wondverband en fixatie
807005;hersenen
814007;elektroforese
817000;excisie van milt
831000;drawer -
851001;behandeling , wortelkanaal - - mola excl . final restoration
853003;fecaal vet - 72 - uurs subduraal
867007;aangezicht xiide zenuwletsel anastomose
870006;carbamazepine -
879007;speciaal bloedcoagulatietest , explain door report
881009;cyclodialyse
893000;tumor - antigeen
897004;radicale maxillaris intranasaal
910002;mhpg ï ne urine
911003;verwijdering van van ureter shunt
913000;chiropraxis pati ë ntenvoorlichting en onderwijzen
926001;embolectomie met katheterisatie van arteria radialis op arm incisie
935008;excisie van klieren van cowper
941001;endoscopie , hypofyse -
945005;excisie van tibia en fibula en transplantaat
948007;flebectomie intracraniale veneuze spataderen
951000;echografische guidance voor biopsie endomyocard
956005;anesthesie en verrichting thoracale slokdarm
967006;geneesmiddelen onderwijzen
969009;incisie en exploration van larynx
971009;implantatie operatie en aanmeten
1001000;cauterisatie van bartholin
1008006;chirurgie ganglia
1019009;verwijdering van cornea - epitheel
1021004;herstel van scrotum
1029002;foetoscopie
1032004;enucleatie parotis cyste
1035002;schlichter test , microdilution - kleuring
1036001;implantatie intravasculaire hulpmiddel bij gewone centraalveneuze , volledig
1041009;gecompliceerde fractuurdebridement van phalanges van voet
1042002;vaderschap
1043007;doppler kleur flow velocity mapping
1044001;diagnostische echo buik en retroperitoneale
1048003;capillaire monsters subduraal
1054002;van sfincter van oddi
1071001;van splenorenale shunt
1084005;excisie perirenaal cyste
1093006;excisie van de abdominale veneuze spataderen
1103000;transcrural mobilization de stijgbeugel
1104006;trilogie knie artroplastiek
1115001;decortication
1119007;gesloten repositie van voet en teen
1121002;intentie activiteiten voor bewegingsexcursie , gewricht
1127003;le radium de
1133007;verwijdering van intact van mamma implantaat , dubbelzijdig
1163003;ureteroenterostomy
1176009;van lies
1181000;tenonectomie en transplantaat
1186005;anesthesie en verrichting benige bekken
1198000;biopsie van scapula
