conceptId;Beschrijving;conceptId;Beschrijving Matecat;conceptId;Beschrijving thot mw;conceptId;beschrijving thot
104001;excisie van letsel ter hoogte van de patella;104001;Uitsnijden van letsel van patella;104001;excisie van van;104001;excisie van van
133000;percutane implantatie van neurostimulator electroden in neuromusculaire component;133000;Percutane implantatie van neurostimulator elektroden in neuromusculaire component;133000;percutane implantatie zenuwstimulator electrodes naar neuromusculaire component;133000;percutane implantatie zenuwstimulator electrodes naar neuromusculaire component
142007;excisie van diepe intramusculaire tumor van de schouderstreek;142007;Uitsnijden van de tumor uit schouders , diepe , intramusculaire;142007;excisie neoplasma van schouder cortex , diepe , intramusculaire;142007;excisie van tumor van schouder steek , diepe , intramusculaire
146005;herstel van nonunion van metatarsaal met botgreffe;146005;Reparatie van nonunion van middenvoetsbeentje met bottransplantatie;146005;herstel van niet aangroeien van middenvoetsbeen met bottranplantaat;146005;herstel van niet aangroeien van middenvoetsbeen met bottranplantaat
153001;cystourethroscopie met resectie urethrocoele;153001;Cystourethroscopy met resectie van ureterocele;153001;cysto - urethroscopie met resectie ureterok è le;153001;cysto - urethroscopie met resectie ureterok è le
174000;procedure van harrison - richardson ter hoogte van vagina;174000;Harrison - Richardson operatie op de vagina;174000;harrison - richardson vaginale operatie;174000;harrison - richardson vaginale operatie
176003;anastomose van het rectum;176003;Anastomose van het rectum;176003;anastomose van rectum;176003;anastomose , rectale
189009;excisie van letsel van arterie;189009;Excisie laesie slagader;189009;excisie van arterie;189009;excisie van arterie
262007;percutane aspiratie van de renale pelvis;262007;Percutane aspiratie van nierbekken;262007;percutane aspiratie bekken;262007;percutane aspiratie van nier
267001;meerdere anale fistulectomies;267001;Anale fistulectomy , multiple;267001;anale fistelexcisie multipele;267001;anale fistelexcisie multipel
294002;excisionele biopsie van gewrichtsstructuur van de wervelkolom;294002;Excisiebiopt van de gezamenlijke structuur van de wervelkolom;294002;biopsie gewricht van wervelkolom;294002;biopsie gewricht van
306005;echografie nier;306005;Echografie van de nieren;306005;echo nier;306005;echo nier
334003;rx orthopantomogram;334003;Panorex onderzoek van de onderkaak;334003;panorex onderzoek van;334003;panorex onderzoek van kaak
374009;herstel van pectus excavatum met costosteroplastie;374009;Costosternoplasty voor pectus reparatie;374009;costosternoplasty voor pectus herstel;374009;costosternoplasty voor pectus herstel
388008;blefaroraphie;388008;Blepharorrhaphy;388008;blefarorafie;388008;blefarorafie
401004;distale subtotale pancreatectomie;401004;Distale subtotaal pancreatectomy;401004;distale pancreatectomie;401004;distale pancreatectomie
445004;herstel van malunion van de tibia;445004;Reparatie van malunion van tibia;445004;herstel van verkeerd tibia;445004;herstel van verkeerd tibia
463004;gesloten reductie van een heupluxatie met een spalk;463004;Gesloten vermindering van coxofemorale gezamenlijke dislocatie met spalk;463004;gesloten repositie van heup luxatie met spalk;463004;gesloten repositie van heup luxatie met spalken
474008;intrathoracale slokdarmanastomose met dundarm;474008;Esophagoenteric anastomose , intrathoracale;474008;esophagoenteric anastomose intrathoracaal;474008;esophagoenteric anastomose , retrosternaal
494004;excisie van letsel van tonsil;494004;Uitsnijden van letsel van de tonsillen;494004;excisie van tonsil;494004;excisie van tonsil
497006;vervangen van cochleaire prothese , meervoudige kanalen;497006;Vervanging van cochleaire prothese , meerdere kanalen;497006;implantatie , prothese , multipele channels;497006;implantatie , prothese , multipele channels
531007;open commissurotomie van pulmonaalklep met inflowocclusie;531007;Open pulmonalisklep commissurotomie met instroom occlusie;531007;open klep commissurotomie met inflow occlusie;531007;open pulmonale commissurotomy met inflow occlusie
533005;herstel van vesico - colische fistel;533005;Sluiting van vesicocolic fistel;533005;herstel van fistel;533005;herstel van fistel
543008;choledocostomie met transduodenale sfincterotomie;543008;Choledochostomy met transduodenal sphincteroplasty;543008;choledochostomie met transhepatische sfincterherstel;543008;choledochostomie met transhepatische sfincterherstel
549007;incisie van een intracraniale vena;549007;Insnijding van intracrani ë le ader;549007;van intracraniale veneuze;549007;van intracraniaal veneus
550007;excisie van letsel van adeno ï ds;550007;Uitsnijden van letsel van adenoids;550007;excisie van adeno ï d;550007;excisie van adeno ï d
559008;excisie van variceuze vene;559008;Excisie van spataders;559008;excisie spataderen;559008;excisie spataderen
603006;synchondrotomie;603006;Scheiding van enige synchondrosis;603006;verwijderen elke synchondrosis;603006;verwijderen elke synchondrosis
618007;sinusectomie van frontale sinus;618007;frontale sinusectomy;618007;frontale sinusectomy;618007;frontale sinusectomy
625000;amputatie van een surnummeraire vinger;625000;Verwijdering van boventallige cijferige;625000;verwijdering van overtollige vingers of tenen;625000;verwijdering van overtollige vingers of tenen
628003;steinman test;628003;Steinman - test;628003;steinman test;628003;steinman -
629006;adhesiolyse van de urethra;629006;Lysis van verklevingen van urethra;629006;peritoneale verklevingen verwijderen van urethra;629006;peritoneale verklevingen verwijderen van urethra
647000;excisie van cervix door elecroconisatie;647000;Excisie van baarmoederhals door electroconization;647000;excisie van cervicale electroconization;647000;excisie van cervicale electroconization
670008;epilatie wenkbrauw met electrocoagulatie;670008;Elektrochirurgische epileren van wenkbrauwen;670008;electrosurgical ontharing van wenkbrauwen;670008;electrosurgical ontharing van wenkbrauwen
671007;testistransplantatie;671007;Transplantatie van testis;671007;van testis;671007;van testis
673005;indirecte laryngoscopie;673005;indirect laryngoscopy;673005;indirecte laryngoscopie;673005;indirecte laryngoscopie
674004;abductie test;674004;Ontvoering test van de knie;674004;abductie test knie;674004;abduction - van
710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior;710006;Thromboendarterectomy met graft van mesenterica;710006;endarterectomie met transplantaat mesenterische arterie;710006;endarterectomie met transplantaat mesentericae
722009;fijne naaldbiopsie van de thymus;722009;Fijne naald biopsie van de thymus;722009;dunnenaaldaspiratie van thymus;722009;dunnenaaldaspiratie van thymus
754000;totale urethrectomie;754000;Totaal urethrectomy;754000;totale urethrectomie;754000;totale urethrectomie
764009;arthrodese van interphalangeaal gewricht van hallux;764009;Artrodese van interfalangeale gewricht van de grote teen;764009;ankylose van gewricht van grote teen;764009;ankylose van gewricht van grote teen
789003;subtemporale decompressie;789003;Cranial decompressie , subtemporal , supratentori ë le;789003;craniaal decompressie , subtemporal , supratentorieel;789003;craniaal decompressie , subtemporal , supratentorieel
807005;excisie van de hersenen;807005;Excisie van hersenen;807005;hersenen;807005;hersenen
817000;excisie van cyste van milt;817000;Uitsnijden van cyste van de milt;817000;excisie van milt;817000;excisie van milt
831000;schuiflade test;831000;schuifladetest;831000;drawer test;831000;drawer -
867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus;867007;Facial - hypoglossus anastomose;867007;aangezicht nervus hypoglossus anastomose;867007;aangezicht xiide zenuwletsel anastomose
881009;cyclodialyse;881009;Cyclodialysis;881009;cyclodialyse;881009;cyclodialyse
911003;verwijderen subarachno - ureterale shunt;911003;Verwijdering van subarachno ï dale - ureteral shunt;911003;verwijdering van van ureter shunt;911003;verwijdering van van ureter shunt
926001;katheter embolectomie van de arteria radialis via arm incisie;926001;Embolectomie met catheter van polsslagader door arm incisie;926001;embolectomie met katheterisatie van arteria radialis door bovenarm incisie;926001;embolectomie met katheterisatie van arteria radialis op arm incisie
935008;excisie bulbo - urethrale klier;935008;Excisie van cowperse klier;935008;excisie van klieren van cowper;935008;excisie van klieren van cowper
945005;excisie van tibia en fibula als greffe;945005;Excisie van scheenbeen en kuitbeen voor graft;945005;excisie van tibia en fibula en transplantaat;945005;excisie van tibia en fibula en transplantaat
948007;flebectomie van een intracraniale varikeuse vena;948007;Phlebectomy van ader intracrani ë le spataderen;948007;flebectomie van intracraniale veneuze spataderen;948007;flebectomie intracraniale veneuze spataderen
1001000;cauterisatie van klier van Bartholin;1001000;Cauterisatie van klier Bartholin;1001000;cauterisatie van bartholin;1001000;cauterisatie van bartholin
