SNOMED conceptID;Thot vertaalde term medisch woordenboek
104001;excisie van van
115006;uitneembare appliance therapie
119000;thoracoscopic parti ë le longlobectomie
121005;retrobulbair zenuwinjectie therapeutische agentia
128004;hand microscoop onderzoek van huid
133000;percutane implantatie zenuwstimulator electrodes naar neuromusculaire component
135007;artrotomie van pols met exploratie en biopsie
142007;excisie neoplasma van schouder cortex , diepe , intramusculaire
146005;herstel van niet aangroeien van middenvoetsbeen met bottranplantaat
153001;cysto - urethroscopie met resectie ureterok è le
160007;verwijdering , pees en tendovaginitis
166001;gedragstherapie
170009;speciaal potency discus identification , vancomycine test
174000;harrison - richardson vaginale operatie
176003;anastomose van rectum
189009;excisie van arterie
197002;draadvormige - gisten conversiestoornissen test
230009;miller chirurgie , urethrovesical suspension
243009;artroplastiek van cerebrale ventriculaire eustachius
245002;verwijderen ganglia
262007;percutane aspiratie bekken
267001;anale fistelexcisie multipele
285008;drainage via de incisie van vulva
294002;biopsie gewricht van wervelkolom
295001;nonexcisional van corpus ciliare
306005;echo nier
316002;parti dacryocystectomie
334003;panorex onderzoek van
342002;amobarbital interview
346004;periodontale exfoliatie en radix planing , per kwadrant
348003;scan nao functietest
351005;urine undiversion van ureter anastomose
352003;reagens telling , preparation - antistof sensitized pool
353008;vierde - irrigatietherapie monitoring
374009;costosternoplasty voor pectus herstel
388008;blefarorafie
389000;tobramycin -
401004;distale pancreatectomie
406009;diathermie van ruggenmerglaesie
417005;hernieuwde opname in een ziekenhuis
435001;pulmonale inhalatie functieonderzoek
445004;herstel van verkeerd tibia
456004;totale abdominale colectomie met ileostomie
459006;gesloten condylotomie mandibula
463004;gesloten repositie van heup luxatie met spalk
468008;glutathiontest
474008;esophagoenteric anastomose intrathoracaal
489004;ferritine
493005;urobilinogeen 48 - uurs - ontlasting
494004;excisie van tonsil
497006;implantatie , prothese , multipele channels
503003;cornea gluing
531007;open klep commissurotomie met inflow occlusie
533005;herstel van fistel
535003;herstel ureterovesicovaginal fistel
540006;auto - enkelvoudige en dubbele stranded dna -
543008;choledochostomie met transhepatische sfincterherstel
545001;chirurgie van onderste extremiteit
549007;van intracraniale veneuze
550007;excisie van adeno ï d
559008;excisie spataderen
570001;immunisatie voor encefalitis
574005;benzodiazepineachtige tranquilizers -
603006;verwijderen elke synchondrosis
617002;bottransplantaat mandibulaire
618007;frontale sinusectomy
625000;verwijdering van overtollige vingers of tenen
628003;steinman test
629006;peritoneale verklevingen verwijderen van urethra
633004;chart review door arts
637003;peritoneale verklevingen verwijderen van neus
642006;cerebrale thermogram
645008;vasculaire diagnostische verrichting vitreum
647000;excisie van cervicale electroconization
657004;operatie bursa
665001;gedeeltelijke verwijdering van meniscus van gewricht
670008;electrosurgical ontharing van wenkbrauwen
671007;van testis
673005;indirecte laryngoscopie
674004;abductie test knie
676002;peritoneale inclusief katheterisatie
680007;bestraling physics consult
687005;albumine - globuline ratio
695009;destructieve operatie , aandoening van huid van romp
697001;hepatitis - a - antistof
710006;endarterectomie met transplantaat mesenterische arterie
712003;gesloten borst zuigdrainage
721002;medische verrichting periuretraal weefsel
722009;dunnenaaldaspiratie van thymus
726007;pathologie consult , comprehensive , records en monsters met report
730005;incisie van
741007;prostaatoperatie
746002;chiropraxis bijstellen van subluxatie
753006;manipulatie van enkel en voet
754000;totale urethrectomie
759005;cerebrale encefalogram
762008;computertomogram van wervelkolom met contrastmicroscopie
764009;ankylose van gewricht van grote teen
767002;witte bloedceltelling
789003;craniaal decompressie , subtemporal , supratentorieel
791006;wondverband en fixatie
807005;hersenen
814007;elektroforese
817000;excisie van milt
831000;drawer test
851001;behandeling , wortelkanaal - - mola excl . final restoration
853003;fecaal vet - 72 - uurs subduraal
867007;aangezicht nervus hypoglossus anastomose
870006;carbamazepine -
879007;speciaal bloedcoagulatietest , explain door report
881009;cyclodialyse
893000;tumor - antigeen
897004;radicale maxillaris antrotomie
910002;mhpg ï ne urine
911003;verwijdering van van ureter shunt
913000;chiropraxis pati ë ntenvoorlichting en onderwijzen
926001;embolectomie met katheterisatie van arteria radialis door bovenarm incisie
935008;excisie van klieren van cowper
941001;endoscopie van hypofyse
945005;excisie van tibia en fibula en transplantaat
948007;flebectomie van intracraniale veneuze spataderen
951000;echografische guidance voor biopsie endomyocard
956005;anesthesie voor verrichting thoracale slokdarm
967006;medicatie onderwijzen
969009;incisie of exploratie larynx
971009;implantatie operatie en aanmeten
1001000;cauterisatie van bartholin
1008006;operatie ganglia
1019009;verwijdering van cornea - epitheel
1021004;herstel van scrotum
1029002;foetoscopie
1032004;enucleatie van de parotis cyste
1035002;schlichter test microdilution methoden
1036001;implantatie intravasculaire hulpmiddel in vena iliaca communis , volledig
1041009;gecompliceerde fractuurdebridement van phalanges van voet
1042002;vaderschap
1043007;doppler kleur flow velocity mapping
1044001;diagnostische echo buik en retroperitoneale
1048003;capillaire monsters subduraal
1054002;incisie van oddi
1071001;proximaal splenorenale shunt
1084005;excisie perirenaal cyste
1093006;excisie van de abdominale veneuze spataderen
1103000;transcrural mobilization stapedis
1104006;triade knie artroplastiek
1115001;decorticatie
1119007;gesloten repositie van voet en teen
1121002;intentie activiteiten voor bewegingsexcursie , gewricht
1127003;interstiti radium de
1133007;verwijdering van intact mammaire implantaat , dubbelzijdig
1163003;ureteroenterostomy
1176009;van lies
1181000;tenonectomie en transplantaat
